Date,Avg Temperature (C),Condition,Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2022-01-01,9,Moderate rain at times,78,16,1.6
2022-01-02,10,Patchy rain possible,78,10,0.9
2022-01-03,10,Partly cloudy,71,15,0.0
2022-01-04,11,Partly cloudy,81,12,0.0
2022-01-05,13,Sunny,72,22,0.0
2022-01-06,14,Overcast,72,25,0.0
2022-01-07,11,Patchy rain possible,84,18,1.7
2022-01-08,11,Patchy rain possible,84,11,0.7
2022-01-09,11,Partly cloudy,76,10,0.0
2022-01-10,11,Patchy rain possible,74,11,0.8
2022-01-11,9,Patchy rain possible,86,31,2.3
2022-01-12,4,Moderate or heavy rain shower,77,36,17.4
2022-01-13,3,Patchy rain possible,52,23,1.4
2022-01-14,3,Partly cloudy,55,12,0.0
2022-01-15,6,Overcast,58,15,0.4
2022-01-16,5,Sunny,58,12,0.0
2022-01-17,6,Cloudy,62,21,0.0
2022-01-18,6,Patchy rain possible,55,23,1.6
2022-01-19,4,Patchy rain possible,50,19,0.9
2022-01-20,6,Sunny,51,24,0.0
2022-01-21,7,Moderate or heavy rain shower,79,24,13.7
2022-01-22,1,Light freezing rain,67,14,3.4
2022-01-23,2,Moderate rain at times,59,22,5.3
2022-01-24,2,Patchy rain possible,72,21,4.4
2022-01-25,1,Patchy rain possible,76,25,2.0
2022-01-26,1,Patchy rain possible,66,13,1.2
2022-01-27,1,Light freezing rain,83,11,1.9
2022-01-28,4,Partly cloudy,71,19,0.0
2022-01-29,5,Overcast,75,10,0.0
2022-01-30,5,Overcast,76,15,0.1
2022-01-31,6,Overcast,65,15,0.0
2022-02-01,7,Moderate rain at times,71,12,1.5
2022-02-02,6,Heavy rain at times,92,14,11.2
2022-02-03,3,Heavy rain at times,91,20,13.2
2022-02-04,5,Patchy rain possible,63,14,0.2
2022-02-05,5,Sunny,63,13,0.0
2022-02-06,8,Partly cloudy,74,7,0.0
2022-02-07,9,Overcast,68,20,0.9
2022-02-08,6,Moderate or heavy rain shower,91,31,38.8
2022-02-09,6,Cloudy,71,29,2.0
2022-02-10,7,Partly cloudy,70,14,0.0
2022-02-11,6,Sunny,63,8,0.0
2022-02-12,8,Sunny,72,12,0.0
2022-02-13,7,Overcast,76,28,0.0
2022-02-14,7,Patchy rain possible,66,12,0.5
2022-02-15,6,Sunny,66,5,0.0
2022-02-16,8,Overcast,63,4,0.0
2022-02-17,9,Partly cloudy,62,9,0.0
2022-02-18,10,Heavy rain at times,76,15,4.4
2022-02-19,8,Sunny,53,7,0.0
2022-02-20,9,Overcast,60,9,0.0
2022-02-21,11,Overcast,64,6,0.0
2022-02-22,13,Cloudy,70,14,1.8
2022-02-23,9,Moderate rain at times,88,16,7.6
