date,uyruk,ziyaretci_sayisi
2019-01,ABD,79947
2019-04,ABD,129809
2019-07,ABD,149009
2019-10,ABD,101144
2020-01,ABD,59963
2020-04,ABD,2107
2020-07,ABD,36277
2020-10,ABD,38449
2021-01,ABD,30145
2021-04,ABD,71079
2021-07,ABD,123104
2021-10,ABD,99549
2022-01,ABD,81866
2022-04,ABD,208053
2022-07,ABD,253237
2022-10,ABD,173951
2023-01,ABD,126745
2023-04,ABD,248053
2023-07,ABD,273968
2023-10,ABD,205000
2024-01,ABD,142144
2024-04,ABD,271387
2024-07,ABD,114412
2019-01,Afganistan,7608
2019-04,Afganistan,11819
2019-07,Afganistan,18770
2019-10,Afganistan,13291
2020-01,Afganistan,6943
2020-04,Afganistan,1365
2020-07,Afganistan,5916
2020-10,Afganistan,7660
2021-01,Afganistan,10386
2021-04,Afganistan,11097
2021-07,Afganistan,10690
2021-10,Afganistan,8016
2022-01,Afganistan,9362
2022-04,Afganistan,10751
2022-07,Afganistan,13201
2022-10,Afganistan,10948
2023-01,Afganistan,10630
2023-04,Afganistan,13167
2023-07,Afganistan,17095
2023-10,Afganistan,10487
2024-01,Afganistan,9390
2024-04,Afganistan,12756
2024-07,Afganistan,5973
2019-01,Almanya,212810
2019-04,Almanya,284909
2019-07,Almanya,360401
2019-10,Almanya,253441
2020-01,Almanya,171151
2020-04,Almanya,17468
2020-07,Almanya,133349
2020-10,Almanya,88294
2021-01,Almanya,85439
2021-04,Almanya,137316
2021-07,Almanya,343188
2021-10,Almanya,257992
2022-01,Almanya,225981
2022-04,Almanya,343494
2022-07,Almanya,381309
2022-10,Almanya,286530
2023-01,Almanya,245842
2023-04,Almanya,338261
2023-07,Almanya,382735
2023-10,Almanya,319666
2024-01,Almanya,286519
2024-04,Almanya,351975
2024-07,Almanya,153861
2022-01,Andorra,73
2022-04,Andorra,126
2022-07,Andorra,187
2022-10,Andorra,110
2023-01,Andorra,85
2023-04,Andorra,103
2023-07,Andorra,125
2023-10,Andorra,110
2024-01,Andorra,98
2024-04,Andorra,95
2024-07,Andorra,40
2022-01,Angola,1007
2022-04,Angola,1236
2022-07,Angola,1275
2022-10,Angola,1340
2023-01,Angola,868
2023-04,Angola,1023
2023-07,Angola,905
2023-10,Angola,672
2024-01,Angola,382
2024-04,Angola,447
2024-07,Angola,185
2022-01,Antigua ve Barbuda,218
2022-04,Antigua ve Barbuda,259
2022-07,Antigua ve Barbuda,370
2022-10,Antigua ve Barbuda,233
2023-01,Antigua ve Barbuda,179
2023-04,Antigua ve Barbuda,297
2023-07,Antigua ve Barbuda,438
2023-10,Antigua ve Barbuda,205
2024-01,Antigua ve Barbuda,216
2024-04,Antigua ve Barbuda,214
2024-07,Antigua ve Barbuda,104
2022-01,Arjantin,4652
2022-04,Arjantin,10201
2022-07,Arjantin,11552
2022-10,Arjantin,8783
2023-01,Arjantin,6326
2023-04,Arjantin,11715
2023-07,Arjantin,11626
2023-10,Arjantin,9080
2024-01,Arjantin,7154
2024-04,Arjantin,12109
2024-07,Arjantin,4062
2019-01,Arnavutluk,13406
2019-04,Arnavutluk,7036
2019-07,Arnavutluk,9953
2019-10,Arnavutluk,14707
2020-01,Arnavutluk,10805
2020-04,Arnavutluk,368
2020-07,Arnavutluk,8552
2020-10,Arnavutluk,11679
2021-01,Arnavutluk,8585
2021-04,Arnavutluk,10565
2021-07,Arnavutluk,12549
2021-10,Arnavutluk,16443
2022-01,Arnavutluk,14929
2022-04,Arnavutluk,16166
2022-07,Arnavutluk,13142
2022-10,Arnavutluk,16654
2023-01,Arnavutluk,13335
2023-04,Arnavutluk,13789
2023-07,Arnavutluk,11592
2023-10,Arnavutluk,17071
2024-01,Arnavutluk,17367
2024-04,Arnavutluk,15086
2024-07,Arnavutluk,3109
2019-01,Avustralya,4087
2019-04,Avustralya,17511
2020-01,Avustralya,1746
2020-04,Avustralya,221
2022-01,Avustralya,8848
2022-04,Avustralya,23931
2022-07,Avustralya,35645
2022-10,Avustralya,21344
2023-01,Avustralya,14432
2023-04,Avustralya,37426
2023-07,Avustralya,53839
2023-10,Avustralya,26964
2024-01,Avustralya,14800
2024-04,Avustralya,43537
2024-07,Avustralya,19895
2019-01,Avusturya,30699
2019-04,Avusturya,32021
2019-07,Avusturya,53196
2019-10,Avusturya,34601
2020-01,Avusturya,25038
2020-04,Avusturya,2350
2020-07,Avusturya,18703
2020-10,Avusturya,15296
2021-01,Avusturya,12661
2021-04,Avusturya,19357
2021-07,Avusturya,50427
2021-10,Avusturya,35214
2022-01,Avusturya,32082
2022-04,Avusturya,41311
2022-07,Avusturya,55646
2022-10,Avusturya,37667
2023-01,Avusturya,32472
2023-04,Avusturya,41823
2023-07,Avusturya,51892
2023-10,Avusturya,40624
2024-01,Avusturya,36927
2024-04,Avusturya,45145
2024-07,Avusturya,25559
2019-01,Azerbaycan,60990
2019-04,Azerbaycan,53609
2019-07,Azerbaycan,71662
2019-10,Azerbaycan,57940
2020-01,Azerbaycan,44945
2020-04,Azerbaycan,1136
2020-07,Azerbaycan,46862
2020-10,Azerbaycan,38152
2021-01,Azerbaycan,36749
2021-04,Azerbaycan,38273
2021-07,Azerbaycan,63004
2021-10,Azerbaycan,52169
2022-01,Azerbaycan,53066
2022-04,Azerbaycan,60811
2022-07,Azerbaycan,88816
2022-10,Azerbaycan,69738
2023-01,Azerbaycan,59639
2023-04,Azerbaycan,68120
2023-07,Azerbaycan,88987
2023-10,Azerbaycan,76313
2024-01,Azerbaycan,76863
2024-04,Azerbaycan,91129
2024-07,Azerbaycan,32751
2022-01,Bahama Adaları,22
2022-04,Bahama Adaları,54
2022-07,Bahama Adaları,50
2022-10,Bahama Adaları,43
2023-01,Bahama Adaları,30
2023-04,Bahama Adaları,60
2023-07,Bahama Adaları,93
2023-10,Bahama Adaları,121
2024-01,Bahama Adaları,48
2024-04,Bahama Adaları,98
2024-07,Bahama Adaları,37
2019-01,Bahreyn,10886
2020-01,Bahreyn,8188
2021-04,Bahreyn,2524
2021-07,Bahreyn,17763
2021-10,Bahreyn,20360
2022-01,Bahreyn,17632
2022-04,Bahreyn,16691
2022-07,Bahreyn,18540
2022-10,Bahreyn,16118
2023-01,Bahreyn,12035
2023-04,Bahreyn,10505
2023-07,Bahreyn,12614
2023-10,Bahreyn,9892
2024-01,Bahreyn,11975
2024-04,Bahreyn,13235
2024-07,Bahreyn,4741
2019-04,Bangladeş,1793
2020-04,Bangladeş,8
2022-01,Bangladeş,3956
2022-04,Bangladeş,6058
2022-07,Bangladeş,6854
2022-10,Bangladeş,5295
2023-01,Bangladeş,4250
2023-04,Bangladeş,5108
2023-07,Bangladeş,5858
2023-10,Bangladeş,5351
2024-01,Bangladeş,4220
2024-04,Bangladeş,6266
2024-07,Bangladeş,2474
2022-01,Barbados,88
2022-04,Barbados,98
2022-07,Barbados,56
2022-10,Barbados,67
2023-01,Barbados,108
2023-04,Barbados,79
2023-07,Barbados,89
2023-10,Barbados,93
2024-01,Barbados,75
2024-04,Barbados,73
2024-07,Barbados,25
2019-01,Belarus,3161
2019-04,Belarus,8793
2019-07,Belarus,9104
2019-10,Belarus,8729
2020-01,Belarus,1597
2020-04,Belarus,453
2020-07,Belarus,8595
2020-10,Belarus,7958
2021-01,Belarus,7316
2021-04,Belarus,8777
2021-07,Belarus,14344
2021-10,Belarus,11509
2022-01,Belarus,16844
2022-04,Belarus,19091
2022-07,Belarus,21926
2022-10,Belarus,20878
2023-01,Belarus,20308
2023-04,Belarus,23501
2023-07,Belarus,27112
2023-10,Belarus,21370
2024-01,Belarus,23273
2024-04,Belarus,26550
2024-07,Belarus,9937
2022-01,Belize,26
2022-04,Belize,66
2022-07,Belize,98
2022-10,Belize,78
2023-01,Belize,53
2023-04,Belize,77
2023-07,Belize,152
2023-10,Belize,89
2024-01,Belize,54
2024-04,Belize,97
2024-07,Belize,42
2019-01,Belçika,31553
2019-04,Belçika,36766
2019-07,Belçika,37595
2019-10,Belçika,33700
2020-01,Belçika,26746
2020-04,Belçika,3131
2020-07,Belçika,17613
2020-10,Belçika,20341
2021-01,Belçika,12005
2021-04,Belçika,22764
2021-07,Belçika,43265
2021-10,Belçika,39980
2022-01,Belçika,38675
2022-04,Belçika,41598
2022-07,Belçika,45662
2022-10,Belçika,38501
2023-01,Belçika,36611
2023-04,Belçika,39590
2023-07,Belçika,44966
2023-10,Belçika,43766
2024-01,Belçika,39191
2024-04,Belçika,46812
2024-07,Belçika,20322
2022-01,Benin,410
2022-04,Benin,416
2022-07,Benin,438
2022-10,Benin,449
2023-01,Benin,365
2023-04,Benin,287
2023-07,Benin,490
2023-10,Benin,301
2024-01,Benin,217
2024-04,Benin,290
2024-07,Benin,152
2022-01,Bhutan,3
2022-04,Bhutan,6
2022-07,Bhutan,13
2022-10,Bhutan,11
2023-01,Bhutan,9
2023-04,Bhutan,22
2023-07,Bhutan,14
2023-10,Bhutan,19
2024-01,Bhutan,7
2024-04,Bhutan,25
2024-07,Bhutan,2
2021-01,Birleşik Arap Emirlikleri,2673
2021-07,Birleşik Arap Emirlikleri,10593
2021-10,Birleşik Arap Emirlikleri,20848
2022-01,Birleşik Arap Emirlikleri,17426
2022-04,Birleşik Arap Emirlikleri,19496
2022-07,Birleşik Arap Emirlikleri,28481
2022-10,Birleşik Arap Emirlikleri,29947
2023-01,Birleşik Arap Emirlikleri,10957
2023-04,Birleşik Arap Emirlikleri,21470
2023-07,Birleşik Arap Emirlikleri,24138
2023-10,Birleşik Arap Emirlikleri,18507
2024-01,Birleşik Arap Emirlikleri,11200
2024-04,Birleşik Arap Emirlikleri,19047
2024-07,Birleşik Arap Emirlikleri,7077
2019-01,Birleşik Krallık,95768
2019-04,Birleşik Krallık,123170
2019-07,Birleşik Krallık,148156
2019-10,Birleşik Krallık,122702
2020-01,Birleşik Krallık,81344
2020-04,Birleşik Krallık,5753
2020-07,Birleşik Krallık,99075
2020-10,Birleşik Krallık,50230
2021-01,Birleşik Krallık,13309
2021-04,Birleşik Krallık,29140
2021-07,Birleşik Krallık,51597
2021-10,Birleşik Krallık,118363
2022-01,Birleşik Krallık,106596
2022-04,Birleşik Krallık,169840
2022-07,Birleşik Krallık,192172
2022-10,Birleşik Krallık,144591
2023-01,Birleşik Krallık,122560
2023-04,Birleşik Krallık,198648
2023-07,Birleşik Krallık,205988
2023-10,Birleşik Krallık,174165
2024-01,Birleşik Krallık,158628
2024-04,Birleşik Krallık,205921
2024-07,Birleşik Krallık,84542
2019-04,Bolivya,354
2020-04,Bolivya,4
2022-01,Bolivya,360
2022-04,Bolivya,663
2022-07,Bolivya,782
2022-10,Bolivya,878
2023-01,Bolivya,543
2023-04,Bolivya,830
2023-07,Bolivya,817
2023-10,Bolivya,900
2024-01,Bolivya,655
2024-04,Bolivya,902
2024-07,Bolivya,275
2019-01,Bosna Hersek,6023
2019-04,Bosna Hersek,8175
2019-07,Bosna Hersek,12329
2019-10,Bosna Hersek,14426
2020-01,Bosna Hersek,2389
2020-04,Bosna Hersek,449
2020-07,Bosna Hersek,8972
2020-10,Bosna Hersek,8500
2021-01,Bosna Hersek,5900
2021-04,Bosna Hersek,9628
2021-07,Bosna Hersek,15864
2021-10,Bosna Hersek,17292
2022-01,Bosna Hersek,16227
2022-04,Bosna Hersek,20254
2022-07,Bosna Hersek,15454
2022-10,Bosna Hersek,16414
2023-01,Bosna Hersek,13834
2023-04,Bosna Hersek,17036
2023-07,Bosna Hersek,13728
2023-10,Bosna Hersek,17773
2024-01,Bosna Hersek,16951
2024-04,Bosna Hersek,19213
2024-07,Bosna Hersek,4425
2022-01,Botsvana,58
2022-04,Botsvana,127
2022-07,Botsvana,140
2022-10,Botsvana,102
2023-01,Botsvana,80
2023-04,Botsvana,122
2023-07,Botsvana,163
2023-10,Botsvana,101
2024-01,Botsvana,150
2024-04,Botsvana,133
2024-07,Botsvana,48
2019-01,Brezilya,18063
2019-04,Brezilya,13993
2019-07,Brezilya,18695
2019-10,Brezilya,21169
2020-01,Brezilya,13412
2020-04,Brezilya,43
2020-07,Brezilya,1649
2020-10,Brezilya,5289
2021-01,Brezilya,1297
2022-01,Brezilya,10369
2022-04,Brezilya,16800
2022-07,Brezilya,20592
2022-10,Brezilya,18556
2023-01,Brezilya,12771
2023-04,Brezilya,22003
2023-07,Brezilya,24041
