Date,Avg Temperature (C),Condition,Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2023-01-01,10,Partly cloudy,72,9,0.0
2023-01-02,10,Sunny,61,4,0.0
2023-01-03,9,Sunny,61,11,0.0
2023-01-04,10,Overcast,78,13,0.0
2023-01-05,10,Sunny,80,11,0.0
2023-01-06,11,Moderate rain at times,82,14,1.0
2023-01-07,10,Sunny,68,9,0.0
2023-01-08,9,Sunny,68,11,0.0
2023-01-09,9,Overcast,70,12,0.0
2023-01-10,11,Patchy rain possible,58,17,2.0
2023-01-11,12,Patchy rain possible,75,12,1.3
2023-01-12,11,Partly cloudy,80,12,0.8
2023-01-13,10,Overcast,87,18,3.1
2023-01-14,9,Overcast,80,18,0.0
2023-01-15,9,Cloudy,68,18,0.0
2023-01-16,9,Sunny,77,9,0.0
2023-01-17,12,Overcast,66,30,0.0
2023-01-18,15,Sunny,61,34,0.0
2023-01-19,14,Partly cloudy,61,21,0.0
2023-01-20,12,Moderate rain at times,58,13,3.5
2023-01-21,13,Sunny,63,15,0.0
2023-01-22,12,Partly cloudy,63,7,0.0
2023-01-23,10,Partly cloudy,76,19,0.0
2023-01-24,9,Cloudy,77,21,0.0
2023-01-25,8,Overcast,70,22,0.0
2023-01-26,9,Partly cloudy,71,19,0.0
2023-01-27,10,Moderate or heavy rain shower,78,13,8.5
2023-01-28,8,Moderate rain at times,82,17,3.0
2023-01-29,5,Overcast,72,18,0.0
2023-01-30,5,Overcast,68,13,0.0
2023-01-31,5,Patchy rain possible,67,8,0.1
2023-02-01,5,Patchy rain possible,73,14,2.9
2023-02-02,8,Moderate rain at times,60,24,1.1
2023-02-03,6,Moderate or heavy rain shower,71,13,6.7
2023-02-04,6,Heavy rain at times,79,23,3.7
2023-02-05,3,Moderate or heavy rain shower,87,37,13.9
2023-02-06,3,Moderate or heavy rain shower,89,45,17.8
2023-02-07,3,Heavy rain at times,79,36,7.2
2023-02-08,3,Patchy rain possible,86,31,2.3
2023-02-09,4,Patchy rain possible,89,25,1.7
2023-02-10,4,Overcast,75,21,0.3
2023-02-11,4,Overcast,65,14,0.0
2023-02-12,4,Overcast,60,7,0.0
