tarih,uyruk,ziyaretci_sayisi
2024-01-01,Rusya,151435
2024-01-01,Almanya,75491
2024-01-01,İran,67631
2024-01-01,Birleşik Krallık,45101
2024-01-01,ABD,44732
2024-01-01,Suudi Arabistan,37547
2024-01-01,Fransa,35654
2024-01-01,Özbekistan,29598
2024-01-01,Kuveyt,25921
2024-01-01,İtalya,25844
2024-01-01,Azerbaycan,23662
2024-01-01,Hollanda,22314
2024-01-01,Cezayir,22240
2024-01-01,Kazakistan,21169
2024-01-01,Endonezya,21018
2024-01-01,Irak,20911
2024-01-01,Çin,20287
2024-01-01,Libya,19643
2024-01-01,Ukrayna,16537
2024-01-01,Fas,16145
2024-01-01,Romanya,14803
2024-01-01,İspanya,14435
2024-01-01,Bulgaristan,14224
2024-01-01,Güney Kore,14133
2024-01-01,Tunus,13567
2024-01-01,Mısır,12364
2024-01-01,Hindistan,11487
2024-01-01,Belçika,11327
2024-01-01,Ürdün,11282
2024-01-01,İsveç,10810
2024-01-01,Yunanistan,10771
2024-01-01,Lübnan,10723
2024-01-01,Avusturya,10361
2024-01-01,Kanada,10277
2024-01-01,Kırgızistan,9321
2024-01-01,Türkmenistan,8836
2024-01-01,İsviçre,8123
2024-01-01,Polonya,7834
2024-01-01,Gürcistan,7594
2024-01-01,Pakistan,6895
2024-01-01,Belarus,6846
2024-01-01,Bahreyn,6742
2024-01-01,Suriye,6547
2024-01-01,Kosova,6370
2024-01-01,Kuzey Kıbrıs,6287
2024-01-01,Brezilya,6034
2024-01-01,Japonya,5899
2024-01-01,Umman,5817
2024-01-01,Tacikistan,5642
2024-01-01,Avustralya,5322
2024-01-01,Bosna Hersek,5217
2024-01-01,Danimarka,5147
2024-01-01,Malezya,5078
2024-01-01,Arnavutluk,5035
2024-01-01,Sırbistan,4876
2024-01-01,Moldova,4378
2024-01-01,Macaristan,4354
2024-01-01,Norveç,4165
2024-01-01,Birleşik Arap Emirlikleri,4157
2024-01-01,Portekiz,4037
2024-01-01,Kuzey Makedonya,4007
2024-01-01,Filipinler,3927
2024-01-01,Meksika,3779
2024-01-01,Tayvan,3771
2024-01-01,İsrail,3304
2024-01-01,Afganistan,3156
2024-01-01,Hırvatistan,3099
2024-01-01,İrlanda,3099
2024-01-01,Güney Afrika,3095
2024-01-01,Katar,3093
2024-01-01,Moğolistan,2988
2024-01-01,Çekya,2833
2024-01-01,Kolombiya,2717
2024-01-01,Finlandiya,2671
2024-01-01,Litvanya,2536
2024-01-01,Arjantin,2349
2024-01-01,Tayland,2075
2024-01-01,Letonya,1988
2024-01-01,Filistin,1959
2024-01-01,Venezuela,1944
2024-01-01,Milliyetsiz (Haymatlos),1865
2024-01-01,Yemen,1777
2024-01-01,Slovenya,1679
2024-01-01,Slovakya,1675
2024-01-01,Nijerya,1608
2024-01-01,Etiyopya,1568
2024-01-01,Karadağ,1552
2024-01-01,Singapur,1515
2024-01-01,Estonya,1415
2024-01-01,Bangladeş,1376
2024-01-01,Ermenistan,1177
2024-01-01,Senegal,969
2024-01-01,Malta,920
2024-01-01,Peru,807
2024-01-01,Yeni Zelanda,791
2024-01-01,Şili,730
2024-01-01,Sudan,727
2024-01-01,Mauritius,697
2024-01-01,Eritre,685
2024-01-01,Hong Kong,601
2024-01-01,Saint Kitts,547
2024-01-01,Nepal,514
2024-01-01,Ekvador,513
2024-01-01,Güney Kıbrıs,486
2024-01-01,Küba,485
2024-01-01,Panama,474
2024-01-01,Demokratik Kongo Cumhuriyeti,465
2024-01-01,Kenya,448
2024-01-01,Dominika,426
2024-01-01,Uganda,426
2024-01-01,Sri Lanka,422
2024-01-01,Somali,411
2024-01-01,Kosta Rika,385
2024-01-01,Çad,371
2024-01-01,Gana,337
2024-01-01,Kamerun,332
2024-01-01,Fildişi Sahili,321
2024-01-01,Lüksemburg,301
2024-01-01,Mali,295
2024-01-01,Birleşmiş Milletler,290
2024-01-01,Gine,275
2024-01-01,Tanzanya,266
2024-01-01,Maldivler,251
2024-01-01,Dominik Cumhuriyeti,244
2024-01-01,Vietnam,234
2024-01-01,Moritanya,233
2024-01-01,Bolivya,220
2024-01-01,Cibuti,220
2024-01-01,Gabon,193
2024-01-01,Honduras,193
2024-01-01,Uruguay,185
2024-01-01,Guatemala,171
2024-01-01,Burkina Faso,147
2024-01-01,Gambiya,133
2024-01-01,Angola,130
2024-01-01,Nijer,130
2024-01-01,Sierra Leone,123
2024-01-01,Brunei,114
2024-01-01,Zimbabve,105
2024-01-01,El Salvador,95
2024-01-01,İzlanda,86
2024-01-01,Antigua ve Barbuda,85
2024-01-01,Trinidad ve Tobago,82
2024-01-01,Kongo Cumhuriyeti,78
2024-01-01,Jamaika,72
2024-01-01,Myanmar,71
2024-01-01,Paraguay,71
2024-01-01,Mozambik,59
2024-01-01,Seyşeller,58
2024-01-01,Benin,55
2024-01-01,Güney Sudan,50
2024-01-01,Nikaragua,45
2024-01-01,Lihtenştayn,44
2024-01-01,Ekvator Ginesi,43
2024-01-01,Togo,41
2024-01-01,Ruanda,39
2024-01-01,Botsvana,38
2024-01-01,Komorlar,36
2024-01-01,Madagaskar,35
2024-01-01,Andorra,34
2024-01-01,Grenada,33
2024-01-01,Fiji,32
2024-01-01,Haiti,32
2024-01-01,Liberya,31
2024-01-01,Zambiya,29
2024-01-01,Burundi,26
2024-01-01,Vanuatu,25
2024-01-01,Kamboçya,23
2024-01-01,Belize,18
2024-01-01,Malavi,18
2024-01-01,Barbados,17
2024-01-01,Namibya,17
2024-01-01,Bahama Adaları,16
2024-01-01,Monako,16
2024-01-01,Yeşil Burun Adaları,16
2024-01-01,Saint Lucia,15
2024-01-01,Makao,13
2024-01-01,Surinam,9
2024-01-01,Gine Bissau,8
2024-01-01,Guyana,7
2024-01-01,San Marino,7
2024-01-01,Avrupa Birliği,6
2024-01-01,Orta Afrika Cumhuriyeti,5
2024-01-01,Esvatini,5
2024-01-01,Bhutan,3
2024-01-01,Saint Vincent,3
2024-01-01,Laos,2
2024-01-01,Lesotho,2
2024-01-01,Samoa,2
2024-01-01,Sao Tome,2
2024-01-01,Somaliland,2
2024-01-01,Nauru,1
2024-01-01,Tonga,1
2024-01-01,Kuzey Kore,0
2024-01-01,Tuvalu,0
2023-12-01,Rusya,148016
2023-12-01,Almanya,97577
2023-12-01,İran,88056
2023-12-01,Birleşik Krallık,49961
2023-12-01,ABD,49911
2023-12-01,Fransa,46202
2023-12-01,İtalya,38128
2023-12-01,Suudi Arabistan,35529
2023-12-01,Hollanda,28611
2023-12-01,Özbekistan,28079
2023-12-01,Irak,27558
2023-12-01,Cezayir,25454
2023-12-01,Azerbaycan,23772
2023-12-01,İspanya,22549
2023-12-01,Çin,22390
2023-12-01,Kazakistan,22126
2023-12-01,Hindistan,19284
2023-12-01,Fas,18723
2023-12-01,Endonezya,18231
2023-12-01,Tunus,17965
2023-12-01,Libya,17453
2023-12-01,Lübnan,16208
2023-12-01,Ukrayna,15914
2023-12-01,Mısır,15095
2023-12-01,Kuveyt,15019
2023-12-01,Romanya,14463
2023-12-01,Avusturya,14376
2023-12-01,Belçika,13874
2023-12-01,Bulgaristan,13026
2023-12-01,Birleşik Arap Emirlikleri,12898
2023-12-01,Ürdün,12551
2023-12-01,Yunanistan,12257
2023-12-01,İsveç,11869
2023-12-01,Güney Kore,11368
2023-12-01,İsviçre,11168
2023-12-01,Kanada,10350
2023-12-01,Malezya,10343
2023-12-01,Pakistan,9501
2023-12-01,Türkmenistan,9496
2023-12-01,Gürcistan,8089
2023-12-01,Kırgızistan,8043
2023-12-01,Kuzey Kıbrıs,7949
2023-12-01,Kosova,7323
2023-12-01,Suriye,7305
2023-12-01,Japonya,7283
2023-12-01,Singapur,7205
2023-12-01,Katar,6830
2023-12-01,Polonya,6573
2023-12-01,Meksika,6496
2023-12-01,Belarus,6425
2023-12-01,Avustralya,6247
2023-12-01,Brezilya,5901
2023-12-01,Tacikistan,5841
2023-12-01,Bahreyn,5837
2023-12-01,Arnavutluk,5341
2023-12-01,Bosna Hersek,5226
2023-12-01,Sırbistan,5208
2023-12-01,Güney Afrika,5123
2023-12-01,Danimarka,5056
2023-12-01,Filipinler,4664
2023-12-01,Macaristan,4550
2023-12-01,Norveç,4359
2023-12-01,Portekiz,4251
2023-12-01,Moldova,3954
2023-12-01,Tayland,3876
2023-12-01,Kolombiya,3725
2023-12-01,Kuzey Makedonya,3571
2023-12-01,Hırvatistan,3510
2023-12-01,Afganistan,3484
2023-12-01,Tayvan,3262
2023-12-01,İsrail,3150
2023-12-01,Çekya,3136
2023-12-01,Umman,3005
2023-12-01,İrlanda,2717
2023-12-01,Moğolistan,2715
2023-12-01,Finlandiya,2658
2023-12-01,Filistin,2613
2023-12-01,Litvanya,2333
2023-12-01,Milliyetsiz (Haymatlos),2192
2023-12-01,Yemen,1984
2023-12-01,Slovenya,1982
2023-12-01,Slovakya,1970
2023-12-01,Letonya,1952
2023-12-01,Bangladeş,1793
2023-12-01,Etiyopya,1785
2023-12-01,Venezuela,1778
2023-12-01,Karadağ,1650
2023-12-01,Arjantin,1566
2023-12-01,Estonya,1505
2023-12-01,Mauritius,1505
2023-12-01,Nijerya,1330
2023-12-01,Hong Kong,1288
2023-12-01,Eritre,1148
2023-12-01,Senegal,1037
2023-12-01,Ermenistan,996
2023-12-01,Malta,975
2023-12-01,Yeni Zelanda,945
2023-12-01,Sudan,899
2023-12-01,Dominika,800
2023-12-01,Peru,789
2023-12-01,Saint Kitts,741
2023-12-01,Sri Lanka,725
2023-12-01,Kenya,596
2023-12-01,Küba,586
2023-12-01,Demokratik Kongo Cumhuriyeti,571
2023-12-01,Güney Kıbrıs,557
2023-12-01,Şili,552
2023-12-01,Ekvador,552
2023-12-01,Brunei,549
2023-12-01,Nepal,512
2023-12-01,Somali,475
2023-12-01,Fildişi Sahili,447
2023-12-01,Uganda,447
2023-12-01,Tanzanya,447
2023-12-01,Lüksemburg,433
2023-12-01,Gine,411
2023-12-01,Vietnam,401
2023-12-01,Çad,396
2023-12-01,Maldivler,384
