Date,ALB,AND,ARM,AUT,AZE,BEL,BGR,BIH,BLR,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,FRO,GBR,GEO,GIB,GRC,GRL,HRV,HUN,IMN,IRL,ISL,ITA,KAZ,KGZ,LIE,LTU,LUX,LVA,MCO,MDA,MKD,MNE,NLD,NOR,POL,PRT,ROU,RUS,SMR,SRB,SVK,SVN,SWE,TJK,TKM,TUR,UKR,UZB
2018-10,14.71,7.25,9.13,8.06,13.97,11.67,13.06,11.85,7.69,7.13,22.29,9.52,10.49,10.74,15.51,7.62,3.96,12.86,8.71,10.69,10.02,19.62,17.08,-18.57,13.71,12.52,12.54,10.84,1.87,14.94,7.67,1.42,7.63,8.05,10.48,7.77,17.03,11.4,12.98,11.68,11.93,3.26,9.67,16.97,11.43,-2.65,16.47,12.81,9.78,11.4,4.73,1.15,16.57,14.13,9.84,13.46
2019-01,4.36,-2.39,-4.23,-2.32,2.14,3.31,2.17,1.13,-3.14,-2.91,12.77,-0.55,1.41,2.25,7.27,-3.1,-7.26,4.47,4.9,4.55,-1.56,14.17,7.26,-26.11,3.23,1.31,7.16,5.62,-3.2,5.37,-9.08,-10.86,-2.47,-2.06,1.8,-2.46,9.21,-0.26,1.75,1.19,3.83,-6.09,-0.61,9.78,0.05,-20.38,7.05,1.6,-1.07,0.83,-5.51,-11.49,3.42,1.79,-1.91,-0.46
2019-04,11.56,3.32,6.03,6.71,11.45,9.68,11.19,10.11,7.76,4.81,17.62,8.63,9.07,7.51,12.47,5.68,2.01,10.44,5.99,8.18,7.4,16.41,13.66,-20.47,12.21,12.18,8.65,8.73,-0.29,11.88,7.81,1.28,5.23,7.36,8.93,6.6,12.92,10.78,10.74,8.89,9.73,1.18,8.95,14.02,10.57,-3.61,13.74,11.79,9.36,10.19,2.95,0.14,17.11,10.52,9.37,14.2
2019-07,21.65,14.45,18.27,16.18,24.09,17.84,21.84,19.61,18.52,14.54,27.43,18.06,18.21,16.44,22.63,16.85,15.04,19.27,10.35,15.07,18.9,22.93,24.13,-5.39,21.83,21.91,14.26,14.78,7.7,21.9,23.38,12.22,14.88,17.7,17.76,17.35,21.79,22.06,21.59,18.89,17.73,11.64,18.54,22.24,20.78,14.74,24.09,21.5,18.66,19.55,14.17,12.25,30.45,22.62,20.88,27.94
2019-10,14.36,7.01,9.28,7.54,14.35,11.02,12.77,11.35,7.33,6.64,22.12,9.03,10.04,10.52,15.61,7.47,4.21,12.57,8.6,10.61,9.98,19.99,16.76,-18.06,13.21,12.15,12.55,10.94,1.85,14.65,7.6,1.36,7.18,7.94,9.88,7.56,16.78,11.26,12.62,11.18,11.52,3.54,9.49,17.18,11.18,-2.34,16.42,12.35,9.47,10.83,4.81,0.96,16.51,13.82,9.76,13.3
2020-01,4.39,-1.89,-3.95,-2.15,2.35,3.54,1.76,1.3,-3.36,-2.98,12.74,-0.42,1.5,2.44,7.45,-3.03,-7.3,4.74,5.17,4.73,-1.27,14.21,7.12,-25.9,3.32,1.33,7.3,5.93,-2.66,5.4,-8.95,-10.64,-2.63,-2.29,2.06,-2.66,9.11,-0.6,1.59,1.39,3.85,-5.51,-0.53,10.03,-0.31,-20.53,7.0,1.46,-1.05,0.95,-5.06,-11.01,3.94,1.81,-2.06,0.13
2020-04,11.66,3.38,6.07,6.93,11.49,9.42,11.64,10.17,7.87,4.86,17.66,8.94,9.09,7.45,12.37,5.08,1.63,10.5,6.16,8.18,7.6,16.21,13.99,-19.88,12.37,12.48,8.46,8.77,0.25,11.94,8.2,1.26,5.44,7.45,8.63,6.54,12.86,11.05,10.96,9.02,9.5,0.96,9.04,13.75,10.87,-3.8,13.77,11.93,9.58,10.35,2.6,0.29,17.25,10.53,9.95,14.41
2020-07,21.75,14.02,18.45,16.15,24.07,17.34,21.85,19.85,18.33,14.41,27.55,17.76,17.95,16.46,22.34,16.86,15.01,19.12,10.39,14.99,18.99,22.68,24.17,-5.44,22.14,21.83,14.49,15.01,8.04,21.94,22.94,12.45,14.92,17.63,17.33,17.16,21.95,21.76,21.54,19.02,17.4,11.77,18.35,22.22,20.56,14.74,23.96,21.54,18.52,19.87,14.2,12.53,30.59,22.8,20.77,28.07
2020-10,14.73,7.27,9.39,8.54,14.49,11.59,13.28,12.07,7.91,7.07,22.29,9.99,10.72,10.79,15.85,7.77,3.88,12.91,8.8,10.84,10.0,20.24,17.09,-17.96,14.15,12.84,12.75,11.26,2.09,15.0,7.81,1.99,7.63,8.57,10.54,8.09,17.07,11.65,13.07,11.67,11.91,3.59,10.02,17.22,11.48,-2.58,16.71,12.93,10.19,11.93,4.98,1.72,17.23,14.14,9.89,13.99
2021-01,4.77,-1.78,-3.65,-1.96,2.65,3.88,2.29,1.72,-3.24,-2.8,13.01,0.0,1.88,2.51,7.44,-3.11,-7.47,4.83,5.0,4.79,-1.02,14.41,7.39,-25.79,3.67,2.01,7.34,5.92,-2.49,5.62,-8.75,-10.36,-2.23,-1.75,2.38,-2.33,9.29,-0.04,2.23,1.84,4.35,-6.21,0.37,9.97,0.29,-20.47,7.37,2.0,-0.25,1.12,-5.57,-10.92,4.49,1.96,-1.52,0.53
