Date,ASM,AUS,BRN,CHN,COK,FJI,FSM,GUM,HKG,IDN,JPN,KHM,KIR,KOR,LAO,MAC,MHL,MMR,MNG,MNP,MYS,NCL,NRU,NZL,PHL,PLW,PNG,PRK,PYF,SGP,SLB,THA,TLS,TON,TUV,TWN,VNM,VUT,WSM,ALB,AND,ARM,AUT,AZE,BEL,BGR,BIH,BLR,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,FRO,GBR,GEO,GIB,GRC,GRL,HRV,HUN,IMN,IRL,ISL,ITA,KAZ,KGZ,LIE,LTU,LUX,LVA,MCO,MDA,MKD,MNE,NLD,NOR,POL,PRT,ROU,RUS,SMR,SRB,SVK,SVN,SWE,TJK,TKM,TUR,UKR,UZB,ABW,ARG,ATG,BHS,BLZ,BOL,BRA,BRB,CHL,COL,CRI,CUB,CUW,CYM,DMA,DOM,ECU,GRD,GTM,GUY,HND,HTI,JAM,KNA,LCA,MAF,MEX,NIC,PAN,PER,PRI,PRY,SLV,SUR,SXM,TCA,TTO,URY,VCT,VEN,VGB,VIR,ARE,BHR,DJI,DZA,EGY,IRN,IRQ,ISR,JOR,KWT,LBN,LBY,MAR,MLT,OMN,PSE,QAT,SAU,SYR,TUN,YEM,BMU,CAN,USA,AFG,BGD,BTN,IND,LKA,MDV,NPL,PAK,AGO,BDI,BEN,BFA,BWA,CAF,CIV,CMR,COD,COG,COM,CPV,ERI,ETH,GAB,GHA,GIN,GMB,GNB,GNQ,KEN,LBR,LSO,MDG,MLI,MOZ,MRT,MUS,MWI,NAM,NER,NGA,RWA,SDN,SEN,SLE,SOM,SSD,STP,SWZ,SYC,TCD,TGO,TZA,UGA,ZAF,ZMB,ZWE
2018-10,78.44,37.12,79.64,58.87,74.23,75.1,79.47,80.27,71.33,76.64,71.24,75.61,75.33,67.28,76.19,72.0,79.4,77.65,50.99,79.8,78.54,69.69,77.19,73.59,79.27,79.62,78.71,66.68,76.79,79.09,80.32,74.25,68.22,73.29,78.12,77.29,77.21,75.55,79.33,68.9,71.69,65.31,76.45,67.97,79.57,69.73,73.04,78.9,76.99,62.03,77.19,77.78,80.03,65.56,81.55,83.22,75.55,78.56,80.1,70.79,75.47,67.43,69.09,72.62,70.73,75.64,81.04,81.16,72.22,58.53,64.43,76.45,80.55,80.28,81.09,70.7,70.08,66.52,71.54,79.47,80.81,78.49,67.71,71.97,75.38,71.61,70.32,76.21,76.4,80.89,59.6,45.35,57.33,72.77,50.5,80.43,51.64,78.07,75.01,79.68,57.63,64.67,78.6,58.3,78.59,81.61,74.39,80.28,76.96,79.86,75.78,76.62,79.03,77.31,72.47,77.11,74.67,76.92,78.3,75.37,78.07,60.66,78.22,81.88,70.81,77.28,58.06,71.9,65.65,78.08,76.93,79.55,69.59,78.98,74.84,77.94,77.96,47.45,63.64,54.47,31.81,41.29,35.85,33.92,56.03,41.69,31.74,58.28,38.94,50.67,70.55,42.74,56.99,53.87,29.13,44.75,55.14,39.81,71.52,73.71,59.25,38.44,76.86,77.88,65.48,74.57,78.9,73.47,46.57,55.56,63.63,66.77,56.23,33.62,71.01,74.3,72.79,75.25,77.32,75.0,76.35,50.3,58.25,77.25,73.07,72.41,69.23,74.79,80.55,58.04,79.52,52.07,61.12,34.96,55.2,31.28,71.71,54.44,29.79,27.4,63.32,69.48,37.55,60.03,79.13,58.18,68.36,80.59,62.7,78.13,36.07,72.69,55.45,70.92,45.93,43.28,44.43
2019-01,79.03,43.3,79.97,57.57,77.83,78.49,78.67,77.13,70.03,79.11,67.39,59.45,77.92,60.87,67.42,71.22,77.32,62.46,60.5,75.37,77.62,74.17,78.05,71.42,77.3,79.42,79.4,63.3,78.22,78.23,80.07,62.93,79.1,77.36,77.77,76.29,73.43,78.45,79.84,73.84,71.35,69.12,77.85,69.96,82.46,76.63,77.46,82.44,74.94,69.01,81.47,81.36,83.4,72.33,83.21,83.97,78.19,73.13,81.88,71.44,72.77,73.31,64.36,75.88,78.51,75.05,81.76,78.14,73.89,74.7,65.67,74.09,82.81,83.47,82.76,67.51,79.36,75.53,75.69,82.11,79.96,82.2,75.24,79.09,74.8,74.07,77.76,80.74,77.95,82.54,67.94,67.66,71.77,80.56,69.85,78.21,52.53,73.56,70.32,78.04,71.23,73.95,74.65,60.32,72.7,75.3,69.49,78.08,72.92,75.99,72.52,77.68,75.84,72.38,73.09,72.59,70.8,73.57,73.87,69.91,73.3,53.47,72.76,75.96,75.33,72.32,64.43,55.81,72.87,73.3,72.99,76.0,64.21,75.2,66.26,73.31,73.36,58.12,67.97,61.89,39.07,45.99,56.73,60.12,61.29,55.01,55.56,70.24,44.67,55.7,68.36,49.61,65.34,62.48,44.57,65.82,59.98,45.68,67.1,70.16,62.93,59.06,64.99,72.72,55.13,76.02,75.47,62.06,49.65,70.06,72.11,35.73,21.3,51.3,40.89,55.42,52.0,75.16,75.91,78.47,70.9,52.03,43.6,77.1,49.53,40.63,33.79,40.15,78.7,54.66,72.85,62.87,73.03,21.28,70.47,26.21,76.74,74.33,44.4,21.59,33.8,71.9,28.81,27.04,60.87,53.27,32.98,79.43,68.16,77.99,21.98,45.88,69.93,60.96,51.93,73.14,64.85
2019-04,78.63,46.53,78.87,52.3,76.15,78.16,79.26,77.93,79.05,79.17,66.56,63.6,79.7,61.37,68.52,79.72,78.49,58.64,42.21,76.91,76.57,74.97,78.85,75.07,74.79,79.06,80.26,60.81,77.54,78.34,80.56,63.09,77.88,75.23,79.02,76.82,72.24,78.35,79.6,68.5,72.64,68.33,68.89,67.5,72.38,67.47,67.29,67.79,70.25,62.66,68.63,69.24,74.76,62.85,71.38,70.86,69.74,75.42,75.56,70.39,72.01,66.76,67.59,65.74,62.28,77.27,75.72,78.58,68.43,57.75,66.88,70.35,69.17,71.16,69.97,71.43,64.28,63.85,69.54,73.0,73.58,69.26,66.49,67.0,67.57,67.57,64.6,67.47,67.49,70.5,67.24,48.2,63.26,65.92,51.83,79.93,59.84,74.51,70.58,71.85,67.65,74.34,75.43,61.03,77.44,73.71,66.45,79.71,74.47,76.86,71.74,79.16,76.81,65.81,72.9,65.09,70.58,72.38,74.74,69.59,74.38,44.54,66.94,75.54,75.21,72.71,67.94,59.71,73.44,74.38,73.96,74.36,71.05,76.29,68.42,74.62,74.61,38.16,65.5,54.96,25.14,30.07,40.61,35.75,51.24,37.16,31.55,61.95,28.16,48.69,74.86,35.85,55.65,44.13,27.23,45.42,49.0,40.0,71.02,65.4,55.11,49.79,68.29,76.66,45.2,71.36,76.22,61.56,40.52,62.2,72.94,54.07,35.37,44.8,58.94,67.62,64.39,74.42,76.71,77.47,74.18,43.03,52.32,77.36,63.55,52.04,38.94,45.91,78.78,59.82,77.02,58.95,69.53,19.2,67.42,21.04,76.27,70.31,41.13,16.11,47.27,73.57,19.69,30.01,67.61,57.5,48.62,78.81,64.92,77.58,19.36,63.66,70.11,69.57,52.99,62.09,57.31
2019-07,76.29,48.36,78.09,61.3,71.17,74.78,79.5,79.6,79.52,77.19,75.79,75.5,76.83,74.67,78.87,79.2,79.65,80.09,48.31,79.17,76.95,71.81,77.82,78.14,78.51,79.32,80.06,75.99,74.63,78.35,80.73,74.11,71.63,70.69,78.98,77.71,76.02,74.71,77.9,62.07,66.75,61.82,69.95,55.53,71.23,62.67,65.89,68.11,71.64,55.45,66.86,67.29,73.57,52.34,72.38,69.86,66.46,82.79,75.48,69.06,71.74,57.57,75.34,63.76,59.21,80.61,76.68,78.41,63.29,43.13,64.47,73.48,70.67,68.73,71.58,73.86,59.87,54.68,65.67,72.36,73.0,68.84,56.36,65.31,68.3,61.32,62.13,67.43,68.82,69.66,57.29,28.98,48.42,61.66,34.32,81.15,59.35,77.69,75.74,77.63,55.1,63.73,78.68,59.87,78.89,80.83,71.56,80.85,77.21,79.88,72.85,78.14,79.63,74.38,78.94,74.13,70.69,72.78,78.05,74.22,77.7,58.84,77.29,81.13,69.36,74.41,61.44,70.13,76.36,77.71,77.52,79.93,73.86,79.33,77.47,77.74,77.76,36.83,62.34,39.56,19.33,30.35,26.34,18.82,51.46,31.81,16.78,52.85,27.46,39.56,75.89,37.91,52.93,41.62,18.73,32.33,41.43,39.44,77.48,66.16,55.29,31.76,80.25,83.23,70.11,68.34,78.29,80.3,51.05,39.82,54.07,74.71,67.25,36.51,74.7,75.92,76.39,65.03,74.97,73.71,77.09,51.12,58.48,75.36,75.71,76.62,70.37,75.36,79.55,56.06,79.35,49.14,62.45,41.31,59.06,30.12,71.41,60.59,31.8,35.63,72.43,58.01,39.01,63.37,80.04,50.79,70.45,77.96,54.19,77.89,44.6,77.31,54.49,69.88,47.59,43.39,47.41
2019-10,78.13,37.94,79.25,58.77,74.12,75.35,78.95,79.87,70.62,76.81,71.05,75.04,75.31,67.02,75.3,71.54,79.03,77.4,51.41,79.49,78.22,69.91,76.56,73.29,78.81,78.9,78.55,66.53,76.3,79.03,80.15,73.75,68.34,74.06,77.48,76.98,76.53,75.83,78.9,68.47,71.03,65.3,76.32,67.89,79.25,69.66,72.78,78.15,76.73,61.5,77.03,77.46,79.57,64.91,80.98,82.94,74.92,78.01,79.87,71.1,74.99,66.93,68.58,72.32,70.71,75.58,80.81,80.72,71.72,58.61,63.74,76.32,79.94,79.78,80.41,70.23,70.19,65.9,71.5,79.11,80.39,77.87,67.06,72.13,75.15,70.91,70.06,76.1,76.39,80.73,58.87,45.08,57.29,72.51,50.25,79.93,50.46,77.61,74.41,79.08,57.2,64.52,78.41,58.18,78.39,81.45,73.91,79.88,76.55,79.6,75.57,76.39,78.73,76.74,72.48,76.72,74.41,76.62,77.85,75.19,77.56,60.31,78.11,81.5,70.49,76.88,58.1,71.46,65.46,77.57,76.26,79.33,68.35,78.74,74.87,77.47,77.57,47.17,63.07,53.54,31.6,41.03,35.34,33.05,56.07,41.44,30.96,57.54,38.32,50.33,70.06,42.2,56.91,53.63,28.47,44.01,54.81,39.21,71.31,73.19,58.92,38.07,76.58,77.51,65.05,74.26,78.55,72.93,46.26,54.68,62.64,66.61,55.96,33.13,70.73,73.92,72.55,74.57,76.97,74.61,75.94,49.51,57.23,76.99,72.68,72.08,68.56,74.56,80.34,56.81,79.12,52.66,61.06,34.52,54.61,30.5,71.35,53.68,29.29,26.82,63.04,68.62,37.14,59.44,78.71,57.21,67.9,80.28,62.04,77.71,35.75,72.23,54.79,70.25,45.7,42.51,43.77
2020-01,78.48,43.21,79.72,57.22,77.25,78.35,78.41,77.12,69.0,78.84,66.77,59.32,77.6,60.66,66.65,69.84,77.12,62.09,60.09,75.39,77.39,73.97,77.39,71.04,77.26,79.05,79.1,63.36,77.83,78.16,79.65,62.55,78.66,77.02,77.27,75.99,72.99,78.21,79.24,73.18,70.68,69.32,77.41,70.09,82.13,75.9,76.84,82.34,74.41,68.19,81.13,80.94,82.91,71.29,82.79,83.55,77.79,72.89,81.5,70.99,72.37,72.71,64.18,75.17,77.81,74.96,81.43,78.19,73.08,74.63,65.12,73.55,82.39,83.22,82.18,66.37,79.06,74.7,75.02,81.73,79.64,81.79,74.25,78.61,74.34,73.37,77.09,80.22,77.37,82.18,67.41,67.12,71.59,80.39,69.49,77.82,51.63,73.26,69.81,77.92,70.75,73.64,74.52,60.16,72.81,75.2,69.07,77.7,72.39,75.68,72.28,77.45,75.64,72.01,73.18,72.56,70.37,72.91,73.6,69.66,73.13,52.97,72.83,75.58,75.02,72.14,64.03,55.5,72.63,73.14,72.22,75.77,63.37,74.98,66.88,73.2,73.34,57.64,66.72,61.57,39.23,46.05,56.26,59.22,60.9,54.75,54.48,69.26,45.09,55.19,67.81,49.16,64.78,61.24,44.14,65.1,59.64,45.35,66.72,69.84,62.02,58.3,64.44,72.12,54.65,75.08,74.91,61.72,49.3,69.79,71.44,35.88,21.42,51.16,40.52,54.61,51.96,74.5,75.37,77.86,70.31,51.68,42.75,76.64,49.2,40.03,32.84,39.61,78.29,53.79,72.24,62.82,72.37,21.27,69.46,25.91,76.07,73.18,44.36,21.75,33.85,71.26,28.68,26.34,60.33,52.42,32.44,79.01,68.12,77.51,22.04,45.63,68.91,59.81,51.92,72.16,64.04
2020-04,78.24,47.01,78.57,52.01,75.53,78.16,79.08,77.7,78.53,78.82,66.3,64.68,79.42,60.93,68.86,79.05,78.3,58.93,42.45,76.72,76.59,74.59,78.46,74.82,74.81,78.95,79.85,60.82,76.97,78.19,80.08,63.53,77.53,74.86,78.52,76.27,72.53,78.0,79.23,68.07,72.43,67.83,68.78,67.29,71.52,67.06,67.18,67.47,70.06,62.34,68.06,68.64,74.26,62.27,70.92,70.4,69.28,74.85,74.85,70.29,71.35,66.11,67.3,65.74,61.98,76.72,75.01,78.2,67.98,56.49,66.55,70.36,68.6,70.64,69.36,71.02,64.09,63.51,69.09,72.16,72.97,68.78,65.59,66.48,66.96,66.96,63.96,67.06,67.53,69.97,66.81,46.46,62.89,65.58,50.35,79.7,59.56,74.41,70.71,71.76,67.44,73.89,74.9,60.8,77.41,73.63,66.47,79.34,74.28,76.42,71.54,78.76,76.25,65.73,73.02,65.22,70.3,72.13,74.73,69.16,74.4,44.22,67.21,75.44,74.87,72.43,67.32,59.36,73.56,74.41,73.82,73.92,70.81,75.82,68.65,74.41,74.47,37.48,64.53,52.45,24.95,29.73,39.07,35.47,50.64,36.77,30.57,61.11,27.59,48.6,74.03,34.39,55.06,43.6,26.34,45.39,49.01,37.81,71.01,65.08,54.57,48.57,67.5,75.6,44.13,70.87,75.89,59.33,39.14,62.32,72.26,53.93,35.03,45.43,58.29,66.8,63.73,73.93,76.2,77.48,73.57,41.84,50.32,76.98,62.87,51.36,38.82,45.9,78.29,58.41,76.41,60.18,69.52,18.82,67.24,20.71,75.87,70.11,41.72,15.95,47.41,72.97,19.84,29.88,66.98,56.58,47.93,78.38,65.01,77.14,19.38,63.24,69.32,68.35,53.8,61.84,57.16
2020-07,76.03,48.44,77.79,61.1,70.94,74.61,79.01,79.13,79.19,76.81,75.31,75.58,76.56,74.19,78.7,78.92,79.11,79.8,48.64,78.73,76.66,71.53,77.34,77.72,78.13,78.77,79.66,75.76,74.21,77.86,80.37,74.0,71.28,70.46,78.49,77.23,75.85,74.17,77.62,61.43,66.12,61.46,69.3,55.03,70.85,62.2,65.42,67.99,70.99,55.19,66.65,67.08,72.96,52.08,71.97,69.42,66.02,82.23,74.87,68.48,71.32,57.15,74.68,63.14,59.02,79.96,75.97,77.77,62.78,42.85,63.56,72.74,70.3,68.71,71.24,73.49,59.34,53.86,65.4,72.21,72.75,68.75,56.24,65.09,67.83,60.84,61.4,67.27,68.1,69.26,55.81,28.61,47.86,61.12,33.81,80.7,59.41,77.4,75.35,76.6,54.33,63.03,78.15,59.51,78.43,80.43,70.96,80.35,76.74,79.47,72.3,77.76,79.09,73.65,78.62,73.41,70.28,72.3,77.76,73.8,77.33,58.55,76.81,80.73,68.89,74.13,60.52,69.53,76.12,77.34,77.19,79.47,73.55,78.83,76.89,77.36,77.34,36.66,61.49,39.42,18.93,30.06,25.79,18.59,50.99,31.53,16.33,52.52,27.35,38.98,75.4,37.77,52.47,41.2,18.58,32.2,41.4,39.06,77.27,65.97,54.74,30.66,79.84,82.81,69.97,68.15,77.88,79.9,50.1,39.76,53.49,74.48,66.83,36.91,74.21,75.53,76.0,64.83,75.0,73.41,76.68,50.24,57.96,75.33,75.36,76.18,69.99,74.85,79.3,56.0,78.98,49.17,62.16,40.57,59.04,29.6,70.92,60.38,31.69,34.21,71.86,57.49,38.61,62.81,79.51,50.31,69.91,77.52,54.45,77.46,43.65,77.01,54.16,69.87,47.53,43.17,47.46
2020-10,77.66,37.95,78.89,58.24,73.6,74.94,78.49,79.43,70.07,76.59,70.53,74.76,74.91,66.59,75.15,70.69,78.5,76.83,50.96,78.91,77.87,69.2,76.58,73.02,78.63,78.58,78.54,65.8,75.97,78.45,79.56,73.56,68.06,73.06,77.23,76.46,76.26,75.42,78.63,67.96,70.55,64.49,75.48,67.42,79.1,68.94,72.03,78.08,76.18,61.49,76.35,77.16,79.25,64.73,80.53,82.42,74.52,77.91,79.51,70.38,74.61,66.61,68.19,71.51,69.68,75.2,80.46,80.35,71.1,58.02,63.01,75.9,79.62,79.67,80.09,69.95,70.2,65.74,70.89,78.96,80.1,77.59,66.89,71.3,74.63,70.32,69.49,75.06,75.31,80.12,57.86,44.33,57.07,72.26,49.67,79.54,50.85,77.25,74.02,78.87,56.97,64.41,77.87,57.7,77.98,81.0,73.43,79.51,76.11,79.07,75.04,76.04,78.3,76.58,72.68,76.31,73.91,76.05,77.53,74.74,77.19,60.07,77.57,81.1,70.16,76.4,56.99,71.26,65.87,77.2,76.08,79.0,68.22,78.26,74.64,76.98,77.04,47.06,62.79,53.38,31.24,41.0,34.55,32.67,55.67,41.14,31.31,57.74,37.95,50.19,69.59,42.21,56.45,53.46,28.49,43.87,53.89,39.18,70.96,72.78,58.33,37.12,75.85,77.05,65.11,73.74,78.01,72.59,45.7,54.74,62.79,65.74,55.09,33.17,70.1,73.35,71.75,74.42,76.65,74.19,75.53,49.63,57.12,76.6,72.03,71.53,67.89,73.99,79.76,56.94,78.63,51.3,60.61,34.16,54.24,30.58,71.15,53.05,29.36,26.62,62.34,68.81,36.8,58.81,78.1,56.98,67.47,79.83,61.5,77.25,35.33,71.48,54.64,70.21,45.43,42.33,43.45
2021-01,78.09,43.17,79.52,56.66,77.15,77.81,77.86,76.61,68.33,78.37,66.39,59.01,77.14,60.14,66.2,69.55,76.57,61.71,60.2,74.86,76.92,73.36,77.01,70.65,76.95,78.53,78.59,62.97,77.38,77.45,79.03,62.31,78.41,76.55,76.61,75.58,72.62,77.71,78.88,72.52,70.45,68.69,76.91,69.36,81.51,75.48,75.94,82.03,73.82,67.86,80.67,80.31,82.46,71.51,82.49,82.94,77.23,72.86,81.03,70.57,72.18,72.23,63.59,74.51,77.43,74.11,80.87,77.68,72.63,74.22,64.85,73.04,82.33,82.42,82.09,65.99,78.75,74.26,74.18,81.21,79.15,81.53,74.45,78.21,74.14,72.92,76.51,80.03,76.92,81.87,66.92,67.04,71.07,80.23,68.98,77.44,51.08,72.73,69.48,77.11,70.29,73.44,73.91,59.83,72.13,74.44,68.38,77.29,71.63,75.16,71.79,76.85,75.1,71.46,72.81,71.88,69.8,72.25,73.12,69.2,72.74,52.56,72.25,74.95,74.51,71.63,63.14,54.99,72.42,72.74,71.82,75.26,62.63,74.47,66.18,72.77,72.9,57.9,66.96,61.04,38.82,45.73,55.86,58.49,60.26,53.83,54.6,68.49,44.72,55.3,67.18,49.32,64.24,61.52,43.9,64.18,59.31,45.01,66.69,69.38,61.82,57.75,63.87,71.08,53.78,74.98,74.46,60.21,48.21,69.29,71.08,35.28,21.25,50.64,39.43,54.31,51.12,74.01,74.68,77.33,70.01,51.48,42.56,76.08,48.75,39.73,32.9,39.27,77.7,53.27,71.77,62.29,72.18,21.39,69.4,26.54,75.55,73.29,43.69,21.62,33.22,71.15,28.6,26.53,60.01,52.25,32.03,78.39,67.57,76.96,21.93,45.07,68.58,60.0,51.25,72.26,64.32
