tarih,yolcu_turu,uyruk,cikis_turu,liman_sinir_kapisi,ziyaretci_sayisi
2022-10-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,51
2022-09-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,50
2022-08-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,31
2022-07-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,141
2022-06-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,67
2022-05-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,104
2022-04-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,35
2022-03-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,54
2022-02-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,357
2022-01-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,425
2021-12-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,500
2021-11-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,456
2021-10-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,588
2021-09-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,541
2021-08-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,448
2021-07-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,418
2021-06-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,543
2021-05-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,558
2021-04-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,751
2021-03-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,576
2021-02-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,584
2021-01-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,798
2020-12-01,Giden Yolcu,Türkiye,Liman/Sınır Kapısı,Haydarpaşa,658
