Date,ASM,AUS,BRN,CHN,COK,FJI,FSM,GUM,HKG,IDN,JPN,KHM,KIR,KOR,LAO,MAC,MHL,MMR,MNG,MNP,MYS,NCL,NRU,NZL,PHL,PLW,PNG,PRK,PYF,SGP,SLB,THA,TLS,TON,TUV,TWN,VNM,VUT,WSM,AGO,BDI,BEN,BFA,BWA,CAF,CIV,CMR,COD,COG,COM,CPV,ERI,ETH,GAB,GHA,GIN,GMB,GNB,GNQ,KEN,LBR,LSO,MDG,MLI,MOZ,MRT,MUS,MWI,NAM,NER,NGA,RWA,SDN,SEN,SLE,SOM,SSD,STP,SWZ,SYC,TCD,TGO,TZA,UGA,ZAF,ZMB,ZWE,AFG,BGD,BTN,IND,LKA,MDV,NPL,PAK,BMU,CAN,USA,ARE,BHR,DJI,DZA,EGY,IRN,IRQ,ISR,JOR,KWT,LBN,LBY,MAR,MLT,OMN,PSE,QAT,SAU,SYR,TUN,YEM,ALB,AND,ARM,AUT,AZE,BEL,BGR,BIH,BLR,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,FRO,GBR,GEO,GIB,GRC,GRL,HRV,HUN,IMN,IRL,ISL,ITA,KAZ,KGZ,LIE,LTU,LUX,LVA,MCO,MDA,MKD,MNE,NLD,NOR,POL,PRT,ROU,RUS,SMR,SRB,SVK,SVN,SWE,TJK,TKM,TUR,UKR,UZB,ABW,ARG,ATG,BHS,BLZ,BOL,BRA,BRB,CHL,COL,CRI,CUB,CUW,CYM,DMA,DOM,ECU,GRD,GTM,GUY,HND,HTI,JAM,KNA,LCA,MAF,MEX,NIC,PAN,PER,PRI,PRY,SLV,SUR,SXM,TCA,TTO,URY,VCT,VEN,VGB,VIR
2019-01,27.33,28.13,26.54,-5.58,26.14,26.2,27.39,27.05,17.24,25.78,2.31,27.18,26.91,0.83,20.51,17.41,27.13,20.21,-15.91,26.6,25.78,25.34,27.56,15.32,25.3,27.22,24.68,-7.18,26.39,26.76,27.03,24.89,25.91,26.13,27.85,15.68,20.71,26.54,26.31,23.4,20.72,27.88,26.83,26.51,26.94,27.23,25.37,24.9,25.92,26.73,22.1,24.34,23.48,25.85,28.39,26.38,26.95,27.44,25.13,26.33,26.42,16.77,25.31,22.6,26.53,20.69,26.26,24.09,25.48,20.13,26.63,19.7,22.22,26.95,27.36,26.14,28.87,26.53,23.8,27.05,22.07,27.97,23.87,24.22,23.5,23.26,24.22,0.37,20.16,3.31,18.75,25.37,27.06,5.2,10.79,19.12,-18.23,-0.44,19.85,18.97,24.72,13.64,15.01,6.71,11.12,13.32,10.41,14.47,7.84,13.18,11.66,14.93,21.05,13.07,18.97,16.62,8.82,11.97,20.3,4.36,-2.39,-4.23,-2.32,2.14,3.31,2.17,1.13,-3.14,-2.91,12.77,-0.55,1.41,2.25,7.27,-3.1,-7.26,4.47,4.9,4.55,-1.56,14.17,7.26,-26.11,3.23,1.31,7.16,5.62,-3.2,5.37,-9.08,-10.86,-2.47,-2.06,1.8,-2.46,9.21,-0.26,1.75,1.19,3.83,-6.09,-0.61,9.78,0.05,-20.38,7.05,1.6,-1.07,0.83,-5.51,-11.49,3.42,1.79,-1.91,-0.46,26.45,21.29,25.48,23.54,23.8,22.59,26.27,26.08,13.3,25.22,23.28,24.06,26.43,25.82,25.13,23.35,21.98,26.23,21.59,25.9,22.65,24.27,24.76,25.47,26.29,25.42,16.95,25.05,25.48,20.37,24.78,28.33,26.1,26.52,25.42,24.99,26.19,23.59,26.08,26.44,25.4,25.6
2019-04,27.52,23.09,27.38,8.02,26.13,25.67,27.44,27.18,23.33,26.12,10.56,29.78,27.3,12.16,25.38,23.62,27.28,26.32,3.1,26.89,26.82,23.84,27.66,11.9,26.93,27.37,24.47,7.69,26.75,27.82,26.88,29.02,25.36,25.87,27.8,20.56,25.58,26.07,26.42,23.32,20.76,30.6,32.46,22.45,28.32,28.65,26.86,25.37,26.44,26.56,21.8,28.61,25.13,26.27,29.76,29.31,30.24,30.42,25.63,26.74,27.03,12.0,23.84,30.91,24.6,28.06,25.27,22.65,22.38,30.2,30.49,19.93,29.46,31.57,28.43,28.41,30.3,27.09,21.15,27.5,30.37,29.41,23.29,24.0,18.81,22.47,21.97,12.88,27.53,9.67,27.76,28.15,27.99,13.13,22.65,19.71,-4.62,10.31,28.37,25.21,29.4,23.11,23.35,18.14,22.25,19.77,19.05,26.08,13.98,22.91,17.27,16.69,29.51,19.36,27.43,26.36,18.14,18.82,26.77,11.56,3.32,6.03,6.71,11.45,9.68,11.19,10.11,7.76,4.81,17.62,8.63,9.07,7.51,12.47,5.68,2.01,10.44,5.99,8.18,7.4,16.41,13.66,-20.47,12.21,12.18,8.65,8.73,-0.29,11.88,7.81,1.28,5.23,7.36,8.93,6.6,12.92,10.78,10.74,8.89,9.73,1.18,8.95,14.02,10.57,-3.61,13.74,11.79,9.36,10.19,2.95,0.14,17.11,10.52,9.37,14.2,26.51,15.54,25.74,24.78,27.01,21.01,25.66,26.19,10.18,25.11,24.69,26.07,26.45,26.55,25.4,24.51,22.06,26.33,24.91,26.4,25.65,25.36,25.79,25.73,26.76,25.69,22.43,27.26,26.26,19.98,25.41,24.37,27.91,26.89,25.69,25.39,26.72,18.52,26.22,26.99,25.67,25.81
2019-07,26.69,16.15,27.41,19.7,23.86,23.51,27.38,27.71,28.83,25.73,22.76,28.33,27.55,24.6,25.9,29.0,27.44,26.11,18.71,27.84,26.71,20.22,27.74,6.33,26.97,27.43,23.53,21.61,25.34,27.77,26.25,28.16,23.95,23.65,27.6,25.18,27.46,24.36,25.59,21.43,21.16,26.77,28.67,16.98,25.64,26.13,24.46,24.9,24.76,24.05,24.41,29.56,23.66,24.29,26.55,25.8,29.04,27.99,23.84,24.73,25.21,6.32,20.31,33.23,21.39,34.1,21.81,19.63,17.2,32.63,26.97,20.21,31.25,30.02,25.54,27.92,26.8,24.54,16.94,25.51,30.63,26.1,21.96,22.94,13.04,19.92,17.76,24.26,28.76,16.07,27.88,28.48,27.49,19.27,29.44,26.1,12.94,22.2,35.92,33.71,33.39,33.63,30.64,29.46,34.75,27.57,28.13,37.65,23.53,30.39,27.0,24.88,34.23,27.71,35.69,34.23,29.81,29.22,30.66,21.65,14.45,18.27,16.18,24.09,17.84,21.84,19.61,18.52,14.54,27.43,18.06,18.21,16.44,22.63,16.85,15.04,19.27,10.35,15.07,18.9,22.93,24.13,-5.39,21.83,21.91,14.26,14.78,7.7,21.9,23.38,12.22,14.88,17.7,17.76,17.35,21.79,22.06,21.59,18.89,17.73,11.64,18.54,22.24,20.78,14.74,24.09,21.5,18.66,19.55,14.17,12.25,30.45,22.62,20.88,27.94,27.42,9.02,27.28,28.12,27.55,18.84,24.88,27.14,5.28,24.37,24.26,28.57,27.36,28.4,26.6,26.33,20.83,26.99,24.74,26.02,25.45,27.38,27.65,27.23,27.58,27.35,25.56,26.64,25.94,18.86,27.31,20.18,27.14,26.75,27.35,27.83,26.94,12.49,27.01,25.85,27.43,27.47
2019-10,26.76,23.81,27.04,8.18,24.19,24.36,27.57,27.62,25.13,26.11,15.39,27.52,27.39,15.19,23.86,25.26,27.5,24.39,1.99,27.73,26.4,21.93,27.69,10.18,26.55,27.58,24.26,9.85,25.38,27.47,26.63,26.73,25.84,24.04,27.67,21.97,24.79,24.83,25.81,24.49,21.72,27.45,28.61,25.44,25.86,26.77,24.81,24.97,25.49,25.16,25.67,27.89,23.41,25.4,27.25,26.0,28.62,27.82,24.5,25.81,25.79,13.18,23.82,29.63,26.13,29.44,23.01,24.79,23.77,28.38,27.13,20.09,28.46,29.46,26.03,27.25,27.06,25.5,21.26,26.06,27.69,26.93,24.44,23.36,19.45,25.75,24.48,13.77,26.45,10.96,24.42,27.17,27.07,13.65,21.63,24.5,-0.61,11.71,29.74,29.73,28.96,24.84,24.72,19.77,24.96,23.09,21.71,28.4,18.34,23.73,20.11,22.37,28.64,23.12,29.75,27.13,21.29,22.16,25.81,14.36,7.01,9.28,7.54,14.35,11.02,12.77,11.35,7.33,6.64,22.12,9.03,10.04,10.52,15.61,7.47,4.21,12.57,8.6,10.61,9.98,19.99,16.76,-18.06,13.21,12.15,12.55,10.94,1.85,14.65,7.6,1.36,7.18,7.94,9.88,7.56,16.78,11.26,12.62,11.18,11.52,3.54,9.49,17.18,11.18,-2.34,16.42,12.35,9.47,10.83,4.81,0.96,16.51,13.82,9.76,13.3,27.76,15.65,27.33,26.83,26.18,22.65,27.02,27.28,9.18,25.04,23.91,26.94,27.65,27.68,26.76,25.6,21.65,27.42,23.47,27.42,24.39,26.33,26.7,27.31,27.59,27.36,21.9,26.2,25.62,20.25,26.85,25.5,26.13,28.57,27.36,27.31,27.32,17.23,27.31,26.78,27.38,27.48
2020-01,27.42,28.43,26.58,-5.26,26.11,26.32,27.37,26.96,17.27,25.85,2.27,27.09,27.19,1.04,20.53,17.52,27.21,20.31,-15.66,26.66,25.87,25.35,27.73,15.13,25.29,27.27,24.7,-7.09,26.48,26.82,27.05,24.89,25.93,26.31,27.84,15.75,20.73,26.62,26.36,23.49,21.04,28.34,27.43,26.66,27.43,27.69,25.71,25.12,26.21,26.82,22.32,24.67,23.73,26.08,28.74,26.82,27.16,27.65,25.28,26.54,26.76,17.0,25.42,22.96,26.68,20.77,26.24,24.24,25.5,20.48,27.12,19.97,22.36,27.27,27.74,26.36,29.3,26.72,24.12,27.09,22.46,28.36,24.2,24.38,23.67,23.44,24.37,0.91,20.45,3.17,19.02,25.44,27.06,5.42,11.25,19.14,-17.71,-0.41,19.94,19.03,24.74,13.72,14.87,7.08,11.18,13.23,10.29,14.55,7.84,13.23,11.6,14.8,21.37,12.99,19.06,16.86,8.85,12.07,20.57,4.39,-1.89,-3.95,-2.15,2.35,3.54,1.76,1.3,-3.36,-2.98,12.74,-0.42,1.5,2.44,7.45,-3.03,-7.3,4.74,5.17,4.73,-1.27,14.21,7.12,-25.9,3.32,1.33,7.3,5.93,-2.66,5.4,-8.95,-10.64,-2.63,-2.29,2.06,-2.66,9.11,-0.6,1.59,1.39,3.85,-5.51,-0.53,10.03,-0.31,-20.53,7.0,1.46,-1.05,0.95,-5.06,-11.01,3.94,1.81,-2.06,0.13,26.37,21.35,25.7,23.51,23.89,22.71,26.4,26.16,13.38,25.42,23.37,24.04,26.38,25.83,25.36,23.43,22.08,26.25,21.81,25.99,22.86,24.39,24.87,25.67,26.44,25.62,16.73,25.21,25.54,20.48,24.86,28.21,26.47,26.64,25.62,25.12,26.22,23.33,26.15,26.64,25.59,25.73
2020-04,27.51,23.15,27.53,8.04,26.05,25.77,27.52,27.22,23.37,26.25,10.56,29.98,27.36,12.16,25.88,23.73,27.29,26.41,3.01,27.02,27.01,23.98,27.68,11.83,27.11,27.52,24.48,7.33,26.83,28.01,26.95,29.29,25.44,25.91,27.81,20.8,25.99,26.2,26.49,23.26,20.91,30.88,32.79,22.64,28.59,28.93,27.07,25.57,26.67,26.62,22.09,28.57,25.15,26.48,30.03,29.61,30.5,30.64,25.84,26.78,27.27,12.03,24.02,31.42,24.67,28.53,25.48,22.67,22.37,30.44,30.65,20.07,29.47,31.91,28.68,28.36,30.41,27.25,21.0,27.55,30.35,29.67,23.45,24.12,18.92,22.43,21.8,13.44,27.88,10.06,28.21,28.27,28.04,13.74,23.17,19.59,-4.66,9.95,28.19,25.08,29.36,23.81,23.63,18.14,22.34,19.7,18.9,26.12,14.01,23.49,17.35,16.86,29.52,19.32,27.33,26.27,18.2,19.41,26.71,11.66,3.38,6.07,6.93,11.49,9.42,11.64,10.17,7.87,4.86,17.66,8.94,9.09,7.45,12.37,5.08,1.63,10.5,6.16,8.18,7.6,16.21,13.99,-19.88,12.37,12.48,8.46,8.77,0.25,11.94,8.2,1.26,5.44,7.45,8.63,6.54,12.86,11.05,10.96,9.02,9.5,0.96,9.04,13.75,10.87,-3.8,13.77,11.93,9.58,10.35,2.6,0.29,17.25,10.53,9.95,14.41,26.79,15.44,25.97,24.82,27.1,21.09,25.72,26.47,10.01,25.23,24.74,26.15,26.76,26.64,25.67,24.55,22.15,26.62,25.02,26.61,25.69,25.39,25.86,25.98,27.01,25.82,22.49,27.31,26.33,20.09,25.61,24.26,27.91,27.08,25.82,25.42,27.05,18.51,26.47,27.24,25.84,26.03
2020-07,26.64,16.18,27.33,19.68,23.65,23.48,27.35,27.68,28.9,25.68,22.72,28.4,27.47,24.59,26.04,29.09,27.39,26.14,18.47,27.91,26.68,20.27,27.64,6.46,27.05,27.46,23.47,21.31,25.39,27.78,26.29,28.18,23.87,23.46,27.63,25.33,27.6,24.35,25.54,21.6,21.3,26.98,28.8,17.09,25.79,26.23,24.64,25.02,24.89,24.29,24.59,29.72,23.78,24.37,26.76,25.91,29.07,28.08,23.94,24.77,25.28,6.46,20.47,33.34,21.41,34.05,21.98,19.52,17.44,32.78,27.14,20.37,31.22,30.07,25.59,28.11,26.96,24.88,17.08,25.6,30.65,26.32,22.1,22.95,13.26,20.02,17.82,24.53,28.88,16.09,28.05,28.57,27.56,19.42,29.46,26.01,13.04,22.15,35.87,33.94,33.6,33.59,30.79,29.48,35.1,27.86,28.5,37.85,23.78,30.59,26.84,25.0,34.2,27.97,35.78,34.39,30.01,29.26,30.7,21.75,14.02,18.45,16.15,24.07,17.34,21.85,19.85,18.33,14.41,27.55,17.76,17.95,16.46,22.34,16.86,15.01,19.12,10.39,14.99,18.99,22.68,24.17,-5.44,22.14,21.83,14.49,15.01,8.04,21.94,22.94,12.45,14.92,17.63,17.33,17.16,21.95,21.76,21.54,19.02,17.4,11.77,18.35,22.22,20.56,14.74,23.96,21.54,18.52,19.87,14.2,12.53,30.59,22.8,20.77,28.07,27.63,9.14,27.47,28.22,27.63,19.32,25.08,27.27,5.42,24.41,24.28,28.69,27.51,28.52,26.83,26.42,20.83,27.16,24.73,26.01,25.49,27.46,27.73,27.43,27.72,27.47,25.71,26.77,25.97,18.96,27.43,20.79,27.12,26.61,27.47,27.91,26.99,12.42,27.23,25.9,27.51,27.63
2020-10,26.69,23.84,26.99,8.25,24.1,24.52,27.47,27.68,25.18,26.08,15.39,27.52,27.25,15.19,24.07,25.3,27.49,24.45,1.92,27.82,26.33,22.32,27.74,10.43,26.51,27.53,24.23,9.92,25.32,27.43,26.57,26.82,25.76,24.01,27.65,22.04,24.94,24.96,25.73,24.53,21.62,27.54,28.77,25.58,25.76,26.77,24.85,24.86,25.43,25.16,25.7,27.94,23.36,25.37,27.32,26.12,28.62,27.96,24.59,25.7,25.88,13.64,23.77,29.72,26.18,29.58,23.09,24.84,23.89,28.37,27.15,20.0,28.32,29.46,26.13,27.18,26.93,25.46,21.27,26.17,27.65,26.98,24.31,23.19,19.8,25.73,24.72,14.04,26.57,11.06,24.37,27.11,27.16,13.73,21.68,24.42,-0.44,11.51,29.56,29.47,29.12,24.84,24.83,19.79,25.03,23.09,21.84,28.05,18.49,23.76,20.41,22.58,28.49,23.16,29.56,26.89,21.55,22.46,25.58,14.73,7.27,9.39,8.54,14.49,11.59,13.28,12.07,7.91,7.07,22.29,9.99,10.72,10.79,15.85,7.77,3.88,12.91,8.8,10.84,10.0,20.24,17.09,-17.96,14.15,12.84,12.75,11.26,2.09,15.0,7.81,1.99,7.63,8.57,10.54,8.09,17.07,11.65,13.07,11.67,11.91,3.59,10.02,17.22,11.48,-2.58,16.71,12.93,10.19,11.93,4.98,1.72,17.23,14.14,9.89,13.99,27.81,15.66,27.33,26.99,26.18,22.61,27.09,27.39,9.34,25.01,23.86,27.07,27.71,27.76,26.77,25.61,21.61,27.41,23.37,27.33,24.35,26.35,26.78,27.32,27.62,27.38,21.92,26.16,25.58,20.27,26.84,25.64,26.04,28.27,27.38,27.52,27.37,17.41,27.37,26.68,27.43,27.51
2021-01,27.36,28.59,26.59,-5.54,26.29,26.34,27.44,27.13,16.89,25.88,2.1,26.96,27.04,0.57,20.34,17.07,27.19,20.27,-16.57,26.75,25.89,25.48,27.63,14.97,25.36,27.31,24.75,-7.22,26.46,26.83,27.09,24.72,25.93,26.39,27.77,15.57,20.68,26.67,26.31,23.52,20.85,28.04,26.97,26.74,27.14,27.5,25.53,24.98,26.06,26.81,22.39,24.52,23.58,25.96,28.5,26.63,27.09,27.55,25.21,26.42,26.66,17.22,25.45,22.79,26.71,20.79,26.27,24.12,25.6,20.28,26.75,19.76,22.15,27.22,27.63,26.23,28.97,26.62,24.22,27.19,22.22,28.14,23.95,24.15,23.76,23.39,24.53,0.97,20.4,3.25,19.01,25.49,27.13,5.57,11.18,19.05,-17.99,-0.63,20.03,19.15,24.77,13.89,15.4,7.29,11.36,13.75,10.73,14.74,8.19,13.72,11.73,15.33,21.41,13.49,19.17,16.78,9.12,12.4,20.54,4.77,-1.78,-3.65,-1.96,2.65,3.88,2.29,1.72,-3.24,-2.8,13.01,0.0,1.88,2.51,7.44,-3.11,-7.47,4.83,5.0,4.79,-1.02,14.41,7.39,-25.79,3.67,2.01,7.34,5.92,-2.49,5.62,-8.75,-10.36,-2.23,-1.75,2.38,-2.33,9.29,-0.04,2.23,1.84,4.35,-6.21,0.37,9.97,0.29,-20.47,7.37,2.0,-0.25,1.12,-5.57,-10.92,4.49,1.96,-1.52,0.53,26.39,21.4,25.72,23.63,23.98,22.66,26.32,26.07,13.4,25.32,23.38,24.2,26.36,26.06,25.29,23.46,21.97,26.2,21.84,25.94,22.85,24.47,25.05,25.68,26.33,25.65,16.84,25.17,25.49,20.45,24.92,28.4,26.39,26.52,25.65,25.21,26.19,23.45,26.1,26.53,25.63,25.8
2021-04,27.5,23.24,27.36,8.14,26.11,25.91,27.54,27.2,23.16,26.19,10.58,29.93,27.27,12.24,25.6,23.46,27.31,26.44,3.19,26.99,26.85,23.89,27.66,11.72,27.03,27.51,24.51,7.74,26.79,27.86,26.98,29.11,25.43,26.15,27.81,20.55,25.8,26.23,26.44,23.3,20.86,30.73,32.53,22.6,28.44,28.84,27.0,25.55,26.64,26.55,22.0,28.71,25.25,26.43,29.9,29.47,30.25,30.46,25.81,26.77,27.21,12.22,23.92,31.01,24.7,28.02,25.36,22.69,22.47,30.18,30.51,20.04,29.42,31.57,28.62,28.33,30.31,27.27,21.47,27.58,30.29,29.58,23.45,24.01,19.03,22.5,21.95,12.98,27.84,9.81,28.03,28.3,28.03,13.42,22.7,19.65,-4.45,10.01,28.0,25.15,29.27,23.46,23.6,18.16,22.44,19.89,19.09,26.21,14.07,23.14,17.35,16.69,29.36,19.49,27.19,26.32,18.3,18.96,26.71,11.32,3.39,6.13,6.71,11.62,9.37,11.08,9.85,7.6,4.72,17.79,8.6,8.86,7.57,12.67,4.77,2.0,10.45,6.29,8.13,7.38,16.5,13.6,-20.11,12.02,12.14,8.63,8.92,0.46,11.8,8.29,1.51,5.4,6.86,8.79,6.0,12.9,10.75,10.53,8.55,9.29,1.44,8.68,14.28,10.44,-3.81,13.51,11.55,9.26,10.01,2.82,0.24,17.66,10.47,9.5,14.77,26.61,15.53,25.81,24.94,27.13,21.09,25.66,26.36,10.07,25.15,24.65,26.2,26.6,26.6,25.42,24.58,22.08,26.48,25.0,26.48,25.61,25.45,25.84,25.8,26.85,25.77,22.42,27.14,26.3,20.0,25.53,24.61,27.93,26.96,25.77,25.48,26.94,18.6,26.32,27.16,25.74,25.93
