Date,ASM,AUS,BRN,CHN,COK,FJI,FSM,GUM,HKG,IDN,JPN,KHM,KIR,KOR,LAO,MAC,MHL,MMR,MNG,MNP,MYS,NCL,NRU,NZL,PHL,PLW,PNG,PRK,PYF,SGP,SLB,THA,TLS,TON,TUV,TWN,VNM,VUT,WSM,ALB,AND,ARM,AUT,AZE,BEL,BGR,BIH,BLR,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,FRO,GBR,GEO,GIB,GRC,GRL,HRV,HUN,IMN,IRL,ISL,ITA,KAZ,KGZ,LIE,LTU,LUX,LVA,MCO,MDA,MKD,MNE,NLD,NOR,POL,PRT,ROU,RUS,SMR,SRB,SVK,SVN,SWE,TJK,TKM,TUR,UKR,UZB,ABW,ARG,ATG,BHS,BLZ,BOL,BRA,BRB,CHL,COL,CRI,CUB,CUW,CYM,DMA,DOM,ECU,GRD,GTM,GUY,HND,HTI,JAM,KNA,LCA,MAF,MEX,NIC,PAN,PER,PRI,PRY,SLV,SUR,SXM,TCA,TTO,URY,VCT,VEN,VGB,VIR,ARE,BHR,DJI,DZA,EGY,IRN,IRQ,ISR,JOR,KWT,LBN,LBY,MAR,MLT,OMN,PSE,QAT,SAU,SYR,TUN,YEM,BMU,CAN,USA,AFG,BGD,BTN,IND,LKA,MDV,NPL,PAK,AGO,BDI,BEN,BFA,BWA,CAF,CIV,CMR,COD,COG,COM,CPV,ERI,ETH,GAB,GHA,GIN,GMB,GNB,GNQ,KEN,LBR,LSO,MDG,MLI,MOZ,MRT,MUS,MWI,NAM,NER,NGA,RWA,SDN,SEN,SLE,SOM,SSD,STP,SWZ,SYC,TCD,TGO,TZA,UGA,ZAF,ZMB,ZWE
2018-10,529.03,55.39,878.73,157.23,306.18,381.69,827.48,744.4,320.81,723.51,447.15,614.43,169.95,263.63,478.55,374.79,792.46,591.65,43.13,674.44,829.18,147.91,343.18,421.64,714.6,732.69,836.68,221.66,285.15,636.88,831.18,517.62,138.7,299.89,595.78,625.37,652.11,345.88,582.91,342.41,222.32,165.18,264.71,160.39,213.71,150.64,297.03,185.92,360.34,84.12,172.6,202.45,230.72,178.09,216.97,195.46,246.63,355.11,279.33,293.14,195.85,196.55,119.27,309.03,158.09,353.26,289.75,408.48,284.88,80.65,193.33,391.73,196.94,220.29,210.25,252.26,115.31,165.2,430.28,221.54,389.51,172.73,214.95,157.11,163.61,245.0,162.17,186.07,352.74,216.11,127.95,25.38,143.81,141.63,41.22,291.62,199.37,348.89,344.73,564.17,309.27,324.35,404.97,313.9,857.85,1226.53,329.98,347.68,473.7,406.59,332.28,575.24,434.45,653.35,280.57,590.4,312.21,394.73,335.24,344.0,346.18,247.76,600.51,1128.18,460.79,376.03,365.95,590.91,165.34,345.99,318.91,425.88,320.04,425.2,511.39,368.27,388.37,0.53,2.02,54.25,13.8,1.83,39.57,30.25,28.11,7.2,13.09,100.9,2.92,69.43,155.9,1.06,46.22,1.22,6.47,40.05,55.0,28.85,391.63,190.52,193.9,36.42,468.6,564.09,251.01,654.09,608.28,345.69,54.02,287.74,564.08,316.95,183.86,66.65,514.13,402.7,606.54,604.16,526.77,122.46,81.35,64.61,297.62,629.26,358.66,613.67,300.07,517.47,964.49,198.66,706.46,298.32,180.87,78.53,96.45,23.22,121.38,129.05,33.4,16.11,330.43,497.41,72.71,217.21,867.87,117.47,406.13,448.23,225.4,270.94,76.28,411.95,182.12,538.02,129.17,151.5,98.4
2019-01,918.75,205.0,748.33,60.92,596.27,824.97,655.07,230.7,98.94,905.86,290.42,42.26,317.22,114.41,53.65,102.0,436.25,50.54,4.93,200.22,686.15,474.88,548.55,380.2,400.43,630.36,1143.42,86.88,525.21,521.76,1056.64,59.62,796.52,557.36,931.09,378.55,156.42,710.16,975.06,419.24,211.53,123.64,217.52,109.06,233.75,175.56,310.62,152.38,331.97,189.31,157.27,210.42,193.55,185.44,155.74,130.77,251.76,341.61,268.36,289.9,277.37,285.15,102.31,282.29,144.44,314.16,294.15,409.69,251.46,79.43,124.37,367.35,165.0,244.4,161.52,246.44,116.35,196.01,495.94,218.42,319.58,157.53,290.11,155.55,85.26,239.2,178.29,162.13,254.8,157.95,205.39,64.86,243.35,143.36,89.65,132.87,288.42,124.79,136.98,242.67,685.74,667.07,136.61,304.92,514.95,376.99,86.93,164.23,115.04,184.18,130.36,874.84,166.67,182.65,279.29,200.0,94.24,130.25,126.07,134.27,117.73,70.58,168.75,328.9,738.15,127.48,464.76,11.57,314.07,117.93,134.9,197.4,320.19,146.15,195.24,124.97,124.5,15.94,35.94,30.19,15.87,2.95,116.17,99.44,114.0,35.07,60.12,276.5,5.46,81.14,191.26,4.78,182.48,30.1,16.86,107.06,62.58,8.44,355.97,117.15,190.16,132.39,25.72,226.46,44.38,388.24,346.2,123.98,71.79,530.28,745.28,19.33,0.56,259.52,42.85,97.53,117.11,521.47,457.69,629.71,2.2,46.7,49.68,674.49,70.42,15.55,0.63,0.47,682.99,138.61,220.26,503.57,825.98,0.35,541.5,0.82,441.96,830.5,189.21,0.04,27.18,526.7,1.7,0.59,61.79,18.44,28.99,528.81,409.71,514.05,0.04,43.44,527.51,290.55,229.44,716.73,454.77
2019-04,613.69,92.8,737.17,197.77,511.33,568.9,731.62,222.21,430.74,866.48,407.47,330.66,401.56,268.66,388.52,419.95,487.21,327.09,49.86,168.22,667.32,397.1,583.69,359.19,358.82,518.59,1075.45,214.86,385.21,533.94,945.36,306.41,508.63,478.9,811.22,587.49,360.62,603.78,630.06,322.69,274.58,334.04,315.65,210.54,236.38,225.55,332.37,174.48,419.18,87.18,206.78,227.01,170.76,185.93,150.26,136.76,260.12,250.85,234.8,367.23,139.14,190.35,85.24,281.82,179.5,210.17,251.8,305.48,259.89,94.35,278.58,488.58,173.78,242.91,165.31,209.96,161.32,214.94,408.1,201.83,256.23,185.77,198.32,235.26,123.83,201.58,225.84,214.04,333.08,156.39,280.49,74.51,236.75,168.1,104.31,85.43,200.2,131.02,161.09,214.91,346.04,552.02,118.19,346.43,1020.73,492.67,179.85,112.57,126.33,155.96,272.95,1028.6,134.59,286.06,468.64,242.85,235.17,237.37,128.45,130.36,134.98,81.14,223.03,564.09,623.5,234.25,365.45,227.77,503.24,134.96,143.48,169.96,309.91,126.11,532.36,146.54,147.68,9.49,9.47,58.61,16.04,0.71,92.96,66.33,43.12,14.09,28.28,162.62,2.47,74.36,50.85,5.67,71.04,11.17,14.95,72.0,51.27,30.4,311.73,132.48,213.0,146.39,527.47,658.99,116.96,341.7,406.28,261.8,90.02,287.51,677.45,219.94,77.49,68.27,336.28,348.97,469.27,493.33,482.2,402.94,0.92,45.58,287.32,615.87,292.85,211.56,0.8,10.38,864.85,273.21,610.2,208.1,286.91,13.39,186.76,0.57,309.03,361.05,64.65,1.87,204.14,572.0,17.05,2.56,398.69,126.78,259.69,438.96,158.93,385.83,24.23,313.09,413.68,574.34,114.13,208.15,94.74
2019-07,309.75,44.76,672.99,401.1,241.76,244.27,946.45,706.66,858.25,584.89,619.94,728.16,273.47,664.72,1007.71,851.4,770.81,1350.71,161.3,612.99,601.54,229.5,445.9,394.55,859.88,924.23,732.72,674.17,179.22,540.98,792.31,683.92,118.5,259.73,614.86,1099.48,787.03,302.48,330.07,146.1,253.09,239.82,428.0,125.15,223.09,201.36,266.08,247.96,494.4,1.94,275.06,254.94,217.8,82.57,246.66,248.1,197.36,198.91,229.85,359.03,9.23,77.07,111.73,234.96,199.39,188.43,234.83,262.55,188.51,82.67,324.17,669.12,246.97,221.34,244.04,87.4,205.34,141.46,237.92,229.43,336.6,258.89,43.16,265.17,236.13,163.38,204.52,269.42,367.53,266.38,125.82,3.52,73.73,203.15,12.1,98.14,104.44,230.22,273.83,547.85,98.86,175.75,367.37,449.4,980.65,1161.49,335.1,183.84,275.25,310.03,278.18,568.1,438.95,692.69,678.31,556.21,243.36,296.0,221.48,285.15,209.87,361.31,660.03,1127.61,264.63,271.85,179.47,622.89,556.9,209.79,162.53,529.52,268.13,377.42,844.24,230.9,256.36,0.41,0.02,70.4,3.8,0.05,11.8,0.33,1.18,0.12,0.03,2.35,0.17,17.0,1.83,2.29,1.06,0.05,3.0,0.88,8.07,55.08,348.96,222.16,211.56,31.99,1195.23,1837.04,720.19,288.97,504.89,1283.57,184.89,3.98,79.97,565.58,400.89,0.73,580.08,488.05,648.15,245.63,214.52,90.73,43.23,184.45,409.78,166.86,451.38,971.75,487.67,876.63,524.19,121.84,791.81,60.65,71.84,181.03,23.73,30.33,115.85,25.24,0.56,81.06,571.27,78.78,144.71,325.54,1275.96,21.49,506.32,84.58,43.49,160.68,237.44,597.64,30.38,391.36,36.75,0.6,6.12
2019-10,551.42,61.74,888.61,159.54,317.26,452.29,815.61,731.0,338.08,765.3,458.53,605.91,145.93,255.75,464.8,367.09,780.93,602.3,47.38,691.92,844.24,178.99,259.08,419.45,719.3,713.76,856.35,228.26,271.56,682.84,851.15,518.54,157.65,316.88,563.5,563.16,639.45,419.9,586.19,379.68,225.88,163.48,270.52,165.62,204.97,163.92,313.43,176.03,379.18,67.66,175.02,204.82,226.99,176.75,209.53,197.29,242.25,332.66,275.3,308.13,188.49,207.71,125.5,318.5,164.67,347.12,287.04,408.84,289.6,80.48,182.25,416.09,192.84,219.01,205.23,276.46,124.31,181.78,472.23,216.09,383.9,170.74,212.31,166.81,160.99,252.45,171.28,183.29,365.02,212.05,118.15,22.09,143.28,144.95,38.27,309.6,188.61,344.92,335.79,551.87,313.99,328.1,419.55,313.03,867.28,1291.02,328.23,351.54,487.53,415.29,347.35,572.2,437.08,656.42,292.51,596.57,328.22,405.48,329.16,357.59,329.06,247.68,628.56,1164.91,463.67,371.66,367.63,608.09,180.28,328.67,299.58,438.83,304.24,432.46,528.69,354.07,371.75,0.37,1.28,52.54,14.45,1.58,34.93,25.27,24.75,6.47,10.91,81.83,2.72,71.57,165.02,0.81,41.64,0.82,5.7,32.45,57.5,27.43,402.75,194.55,197.31,32.52,485.49,569.71,257.68,639.63,635.25,343.44,50.94,279.52,547.63,307.67,178.17,65.12,512.82,399.56,605.94,593.18,527.1,112.78,71.35,61.37,283.62,630.24,353.04,610.9,296.83,522.5,972.57,182.46,706.13,305.19,182.03,77.63,89.03,22.17,119.93,113.96,32.23,15.52,323.78,483.89,70.54,214.34,858.51,105.56,402.3,426.84,237.74,250.94,74.78,399.03,169.2,519.39,128.68,141.22,91.75
2020-01,950.21,211.97,783.42,59.2,625.45,909.2,703.92,243.5,103.41,914.14,285.72,44.52,242.96,113.01,52.3,105.58,455.52,47.31,5.12,199.81,709.17,487.49,385.25,380.97,453.18,704.29,1149.77,90.9,531.44,531.15,1058.18,60.59,809.01,620.96,875.8,396.25,162.56,749.48,989.52,423.28,195.91,133.02,223.05,118.54,230.08,177.83,316.49,151.17,333.47,196.24,160.26,210.8,197.06,178.32,160.01,134.81,244.46,344.64,275.17,283.09,284.5,290.52,103.1,284.23,141.05,315.42,298.78,418.61,245.1,78.57,121.06,381.29,168.12,238.42,162.58,232.58,124.23,198.82,507.17,217.27,327.91,156.61,280.65,158.63,86.23,232.39,180.81,164.29,252.25,159.34,197.87,61.67,248.03,144.6,85.67,148.79,282.99,131.34,136.3,244.8,683.9,671.9,140.65,307.08,549.92,416.97,86.1,179.55,121.82,184.51,130.05,871.89,174.25,182.39,309.23,213.71,91.33,133.82,129.63,136.28,128.29,71.66,184.63,364.34,739.78,129.82,461.58,11.03,340.96,128.65,129.82,223.78,331.5,148.67,222.8,135.59,132.81,14.18,29.52,28.46,16.28,2.98,113.91,99.03,114.02,34.45,55.87,288.29,5.54,85.57,188.17,4.72,180.35,24.89,16.04,109.0,60.16,8.7,346.98,119.81,186.39,129.98,22.72,215.18,42.59,361.25,332.08,120.51,71.95,533.6,729.49,18.42,0.68,262.2,39.2,95.9,111.52,511.99,458.3,588.09,2.51,43.83,47.13,677.95,69.41,14.56,0.39,0.43,680.12,132.98,214.76,509.12,812.92,0.39,524.52,0.84,466.24,802.06,190.43,0.05,26.81,507.31,1.65,0.42,58.13,16.5,25.47,523.75,397.33,501.66,0.06,41.31,515.65,276.09,232.88,701.76,446.53
2020-04,641.71,98.12,779.98,199.01,504.75,610.42,772.2,235.86,451.96,871.98,415.55,373.28,367.59,270.85,416.16,451.28,505.7,347.15,51.8,182.44,700.69,396.07,468.45,372.43,407.68,544.37,1077.92,224.23,365.57,574.29,950.36,339.8,492.17,518.02,774.07,603.9,387.17,650.19,639.57,333.7,286.94,334.77,319.81,215.58,220.71,225.71,343.01,174.65,418.17,80.38,204.32,221.38,162.31,192.39,144.58,131.6,257.28,238.44,227.22,368.2,150.08,187.35,86.67,298.68,186.54,195.11,239.63,299.63,273.59,91.76,281.29,486.92,167.24,230.15,163.2,213.12,165.7,217.64,419.11,190.05,250.69,182.84,208.24,236.44,123.69,225.31,229.71,222.95,350.61,151.93,280.4,69.01,232.42,167.17,99.02,87.31,198.9,132.17,158.52,221.4,350.3,554.09,115.79,352.73,1032.88,531.47,198.68,117.19,132.01,151.56,301.46,1039.57,136.13,287.29,495.12,252.09,255.9,270.51,130.38,128.81,141.88,79.74,244.23,598.68,627.64,251.96,350.05,237.07,534.07,141.79,153.73,174.27,320.94,125.84,554.75,159.09,157.32,5.87,6.01,46.86,15.69,0.69,84.97,62.32,43.12,13.96,23.22,154.67,2.26,81.01,50.68,4.17,71.63,7.15,13.58,69.04,50.85,25.46,294.12,133.33,212.91,138.77,518.53,654.48,112.88,337.89,406.38,235.21,85.67,289.3,670.65,222.73,75.59,72.64,331.14,338.86,462.41,483.49,475.68,408.75,0.93,40.28,263.86,616.04,287.23,204.84,0.99,11.37,842.86,253.55,592.26,224.97,293.43,13.23,187.98,0.54,292.39,363.56,69.2,1.86,208.34,556.26,17.6,2.78,379.41,119.5,254.34,438.4,175.19,366.25,24.22,313.19,392.15,546.97,117.13,211.82,99.16
2020-07,304.32,46.24,683.21,403.37,231.24,242.15,954.69,704.78,858.05,585.12,592.28,751.37,276.74,641.59,1023.75,851.08,762.19,1364.21,165.24,622.84,602.61,227.5,401.67,391.01,856.99,919.44,708.99,670.59,186.15,537.24,794.89,687.16,109.87,248.64,600.92,1047.53,799.46,316.82,332.23,141.02,250.1,221.92,423.38,117.23,233.64,187.56,253.05,253.61,477.6,2.1,270.27,258.09,208.39,83.39,252.35,249.1,194.42,191.42,231.14,328.15,8.87,69.59,111.49,226.4,204.46,189.92,235.78,256.57,179.02,82.54,306.85,646.74,253.68,221.64,252.44,83.94,194.3,135.18,226.86,232.61,335.22,259.56,45.75,262.87,232.82,148.98,197.93,272.48,360.98,264.37,113.48,3.25,66.29,196.01,10.63,100.01,106.41,221.95,272.27,512.15,96.19,174.83,352.19,438.36,978.56,1139.0,318.34,193.03,258.57,302.7,268.96,581.88,416.95,662.42,674.54,519.08,235.8,279.09,210.59,278.14,201.01,363.14,637.21,1117.86,270.44,259.48,170.77,599.39,561.67,200.91,157.51,512.63,284.52,358.36,830.25,229.73,250.59,0.43,0.02,79.29,3.71,0.05,11.02,0.23,1.2,0.13,0.03,2.18,0.16,15.56,1.82,2.7,1.07,0.05,3.33,0.74,7.63,58.72,352.23,223.9,207.16,28.88,1187.42,1764.01,732.56,290.79,488.76,1286.17,171.98,4.17,81.56,577.65,400.36,0.64,576.82,495.02,642.73,247.24,220.84,99.42,38.57,185.31,410.96,178.1,462.72,974.68,463.22,856.63,535.23,125.11,791.31,56.85,73.64,179.29,24.59,28.87,111.03,26.74,0.42,78.37,570.8,84.71,144.56,317.27,1268.51,21.35,506.77,88.49,40.35,166.08,230.9,612.05,31.78,397.19,34.57,0.69,6.1
2020-10,523.57,61.06,871.23,156.29,322.56,438.02,808.12,746.18,317.23,762.03,448.57,606.23,149.19,249.43,465.75,353.88,768.5,593.25,45.6,658.41,838.42,176.28,287.83,425.33,744.82,739.91,886.55,214.14,281.02,660.64,846.82,522.77,152.15,297.82,560.87,619.41,641.26,430.11,564.2,347.23,225.15,161.25,270.14,159.54,212.19,153.54,296.03,180.47,376.67,75.06,169.81,205.46,219.2,180.09,210.36,196.43,247.76,344.5,274.21,297.23,188.33,197.3,122.79,310.28,154.96,347.72,283.97,402.31,286.63,79.75,180.46,406.47,195.57,219.33,206.47,261.51,121.44,170.87,438.25,220.62,385.21,171.64,220.82,155.84,163.39,242.1,160.07,177.58,359.99,212.7,113.36,20.37,140.31,144.21,34.8,328.98,199.78,336.23,332.54,564.48,322.09,339.15,420.13,310.68,866.93,1269.32,316.63,369.45,459.43,415.53,319.03,586.33,443.91,663.98,305.09,582.09,302.23,375.79,325.95,348.26,316.9,253.01,606.32,1145.17,469.81,354.06,362.29,600.07,191.0,316.87,295.97,451.27,326.09,431.94,524.73,337.77,360.5,0.5,1.39,53.5,13.39,1.47,35.16,27.53,24.68,5.99,14.01,84.23,2.63,73.84,140.74,1.12,41.29,0.86,6.81,33.19,52.57,28.79,377.58,190.5,196.72,31.04,482.86,564.11,268.82,624.01,595.79,366.13,50.49,288.93,570.14,305.06,173.23,68.02,506.61,398.9,599.89,604.42,530.01,120.73,67.71,64.0,293.22,642.03,352.7,600.05,285.3,507.37,963.36,196.83,714.37,297.3,184.82,76.38,91.92,21.5,123.09,125.73,33.27,15.27,323.56,503.61,69.74,207.65,855.37,113.77,409.32,450.68,241.74,247.7,74.23,397.06,177.73,538.63,129.54,152.96,97.04
2021-01,916.06,211.19,816.81,58.97,633.4,871.15,685.64,243.89,106.72,914.98,284.55,46.11,240.42,111.98,50.28,108.83,436.37,45.31,5.12,198.47,719.68,508.97,405.28,382.04,459.23,666.88,1149.57,87.62,546.93,516.73,1034.79,60.88,808.29,613.88,847.41,392.08,159.52,720.81,967.96,389.11,196.62,132.07,218.03,117.07,224.36,162.43,300.47,149.28,323.24,195.43,155.3,202.17,189.44,182.41,156.07,134.88,241.37,335.76,272.28,279.6,299.3,272.87,104.6,267.82,136.31,309.7,289.11,419.43,241.66,77.08,124.31,368.29,163.98,228.82,160.99,241.73,113.02,177.71,482.51,207.83,320.06,154.07,286.62,149.49,84.33,220.96,169.19,160.82,245.22,157.0,198.77,62.71,243.45,142.42,85.08,138.43,275.42,126.32,136.03,231.75,683.77,681.56,146.12,315.35,527.19,379.65,84.24,178.08,113.06,182.25,123.9,851.74,177.84,175.22,291.03,198.74,86.53,126.84,127.28,138.0,123.58,69.97,181.03,326.44,736.05,124.31,456.59,10.55,335.29,123.78,127.78,211.36,309.5,157.38,211.22,129.13,130.24,17.17,31.45,30.88,15.9,2.9,114.86,97.24,113.45,33.34,64.61,286.1,5.33,87.09,183.45,5.31,183.08,28.86,17.98,107.51,60.76,8.77,342.54,114.94,186.43,131.14,24.37,213.46,41.37,381.03,315.43,112.01,68.63,527.61,732.42,18.56,0.5,257.98,37.43,96.79,109.24,506.26,444.21,571.73,2.69,48.63,48.66,658.92,67.56,13.03,0.35,0.36,662.02,135.69,213.52,503.92,812.81,0.36,529.75,0.91,457.26,814.57,185.99,0.04,26.8,514.81,1.69,0.36,57.68,18.13,26.29,518.72,401.11,483.14,0.04,40.63,516.97,285.46,224.67,706.81,451.88
