date,Country Code,ziyaretci_sayisi
2019-01,USA,79947
2019-04,USA,129809
2019-07,USA,149009
2019-10,USA,101144
2020-01,USA,59963
2020-04,USA,2107
2020-07,USA,36277
2020-10,USA,38449
2021-01,USA,30145
2021-04,USA,71079
2021-07,USA,123104
2021-10,USA,99549
2022-01,USA,81866
2022-04,USA,208053
2022-07,USA,253237
2022-10,USA,173951
2023-01,USA,126745
2023-04,USA,248053
2023-07,USA,273968
2023-10,USA,205000
2024-01,USA,142144
2024-04,USA,271387
2024-07,USA,114412
2019-01,AFG,7608
2019-04,AFG,11819
2019-07,AFG,18770
2019-10,AFG,13291
2020-01,AFG,6943
2020-04,AFG,1365
2020-07,AFG,5916
2020-10,AFG,7660
2021-01,AFG,10386
2021-04,AFG,11097
2021-07,AFG,10690
2021-10,AFG,8016
2022-01,AFG,9362
2022-04,AFG,10751
2022-07,AFG,13201
2022-10,AFG,10948
2023-01,AFG,10630
2023-04,AFG,13167
2023-07,AFG,17095
2023-10,AFG,10487
2024-01,AFG,9390
2024-04,AFG,12756
2024-07,AFG,5973
2019-01,DEU,212810
2019-04,DEU,284909
2019-07,DEU,360401
2019-10,DEU,253441
2020-01,DEU,171151
2020-04,DEU,17468
2020-07,DEU,133349
2020-10,DEU,88294
2021-01,DEU,85439
2021-04,DEU,137316
2021-07,DEU,343188
2021-10,DEU,257992
2022-01,DEU,225981
2022-04,DEU,343494
2022-07,DEU,381309
2022-10,DEU,286530
2023-01,DEU,245842
2023-04,DEU,338261
2023-07,DEU,382735
2023-10,DEU,319666
2024-01,DEU,286519
2024-04,DEU,351975
2024-07,DEU,153861
2022-01,AND,73
2022-04,AND,126
2022-07,AND,187
2022-10,AND,110
2023-01,AND,85
2023-04,AND,103
2023-07,AND,125
2023-10,AND,110
2024-01,AND,98
2024-04,AND,95
2024-07,AND,40
2022-01,AGO,1007
2022-04,AGO,1236
2022-07,AGO,1275
2022-10,AGO,1340
2023-01,AGO,868
2023-04,AGO,1023
2023-07,AGO,905
2023-10,AGO,672
2024-01,AGO,382
2024-04,AGO,447
2024-07,AGO,185
2022-01,ATG,218
2022-04,ATG,259
2022-07,ATG,370
2022-10,ATG,233
2023-01,ATG,179
2023-04,ATG,297
2023-07,ATG,438
2023-10,ATG,205
2024-01,ATG,216
2024-04,ATG,214
2024-07,ATG,104
2022-01,ARG,4652
2022-04,ARG,10201
2022-07,ARG,11552
2022-10,ARG,8783
