tarih,havalimani,hat,yolcu_sayisi
2023-09-01,Adana,İç,321329
2023-09-01,Adıyaman,İç,40225
2023-09-01,Alanya Gazipaşa,İç,50196
2023-09-01,Amasya Merzifon,İç,8317
2023-09-01,Ankara Esenboğa,İç,819115
2023-09-01,Antalya,İç,597074
2023-09-01,Aydın,İç,0
2023-09-01,Ağrı,İç,27107
2023-09-01,Balıkesir Edremit,İç,28167
2023-09-01,Balıkesir Merkez,İç,0
2023-09-01,Batman,İç,0
2023-09-01,Bingöl,İç,16694
2023-09-01,Bursa Yenişehir,İç,14691
2023-09-01,Denizli Çardak,İç,34659
2023-09-01,Diyarbakır,İç,203587
2023-09-01,Elazığ,İç,52007
2023-09-01,Erzincan,İç,38118
2023-09-01,Erzurum,İç,93050
2023-09-01,Eskişehir,İç,57
2023-09-01,Gaziantep,İç,211787
2023-09-01,Gökçeada,İç,0
2023-09-01,Hakkari Yüksekova,İç,15898
2023-09-01,Hatay,İç,1901
2023-09-01,Isparta,İç,4250
2023-09-01,Iğdır,İç,34292
2023-09-01,Kahramanmaraş,İç,20258
2023-09-01,Kars,İç,48077
2023-09-01,Kastamonu,İç,6011
2023-09-01,Kayseri,İç,178139
2023-09-01,Kocaeli,İç,0
2023-09-01,Konya,İç,62893
2023-09-01,Malatya,İç,64910
2023-09-01,Mardin,İç,67488
2023-09-01,Muğla Dalaman,İç,234340
2023-09-01,Muğla Milas-Bodrum,İç,286332
2023-09-01,Muş,İç,47177
2023-09-01,Nevşehir Kapadokya,İç,60096
2023-09-01,Ordu-Giresun,İç,93581
2023-09-01,Rize-Artvin,İç,99501
2023-09-01,Samsun Çarşamba,İç,107475
2023-09-01,Siirt,İç,7710
2023-09-01,Sinop,İç,7320
2023-09-01,Sivas,İç,40130
2023-09-01,Tekirdağ Çorlu,İç,2310
2023-09-01,Tokat,İç,12761
2023-09-01,Trabzon,İç,263527
2023-09-01,Uşak,İç,0
2023-09-01,Van,İç,147220
2023-09-01,Zafer,İç,3065
2023-09-01,Zonguldak Çaycuma,İç,2153
2023-09-01,Çanakkale,İç,19831
2023-09-01,İstanbul,İç,1687173
2023-09-01,İstanbul Atatürk,İç,0
2023-09-01,İstanbul Sabiha Gökçen,İç,1624776
2023-09-01,İzmir Adnan Menderes,İç,616280
2023-09-01,Şanlıurfa GAP,İç,68158
2023-09-01,Şırnak,İç,42149
2023-08-01,Adana,İç,347309
2023-08-01,Adıyaman,İç,37810
2023-08-01,Alanya Gazipaşa,İç,54466
2023-08-01,Amasya Merzifon,İç,11750
2023-08-01,Ankara Esenboğa,İç,847381
2023-08-01,Antalya,İç,660579
2023-08-01,Aydın,İç,0
2023-08-01,Ağrı,İç,28546
2023-08-01,Balıkesir Edremit,İç,37668
2023-08-01,Balıkesir Merkez,İç,0
2023-08-01,Batman,İç,59621
2023-08-01,Bingöl,İç,17603
2023-08-01,Bursa Yenişehir,İç,16400
2023-08-01,Denizli Çardak,İç,32475
2023-08-01,Diyarbakır,İç,161771
2023-08-01,Elazığ,İç,66559
2023-08-01,Erzincan,İç,45053
2023-08-01,Erzurum,İç,90565
2023-08-01,Eskişehir,İç,0
2023-08-01,Gaziantep,İç,206299
2023-08-01,Gökçeada,İç,0
2023-08-01,Hakkari Yüksekova,İç,14973
2023-08-01,Hatay,İç,256
2023-08-01,Isparta,İç,5078
2023-08-01,Iğdır,İç,36966
2023-08-01,Kahramanmaraş,İç,18796
2023-08-01,Kars,İç,57304
2023-08-01,Kastamonu,İç,8031
2023-08-01,Kayseri,İç,181967
2023-08-01,Kocaeli,İç,0
2023-08-01,Konya,İç,70986
2023-08-01,Malatya,İç,68205
2023-08-01,Mardin,İç,65767
2023-08-01,Muğla Dalaman,İç,282335
2023-08-01,Muğla Milas-Bodrum,İç,377199
2023-08-01,Muş,İç,54319
2023-08-01,Nevşehir Kapadokya,İç,61258
2023-08-01,Ordu-Giresun,İç,106106
2023-08-01,Rize-Artvin,İç,119991
2023-08-01,Samsun Çarşamba,İç,115278
2023-08-01,Siirt,İç,7755
2023-08-01,Sinop,İç,12013
2023-08-01,Sivas,İç,42450
2023-08-01,Tekirdağ Çorlu,İç,2741
2023-08-01,Tokat,İç,14372
2023-08-01,Trabzon,İç,315413
2023-08-01,Uşak,İç,0
2023-08-01,Van,İç,129481
2023-08-01,Zafer,İç,4215
2023-08-01,Zonguldak Çaycuma,İç,3121
2023-08-01,Çanakkale,İç,20370
2023-08-01,İstanbul,İç,1900358
2023-08-01,İstanbul Atatürk,İç,0
2023-08-01,İstanbul Sabiha Gökçen,İç,1829817
2023-08-01,İzmir Adnan Menderes,İç,563219
2023-08-01,Şanlıurfa GAP,İç,66698
2023-08-01,Şırnak,İç,38797
2023-07-01,Adana,İç,361014
2023-07-01,Adıyaman,İç,39125
2023-07-01,Alanya Gazipaşa,İç,48268
2023-07-01,Amasya Merzifon,İç,13006
2023-07-01,Ankara Esenboğa,İç,864813
2023-07-01,Antalya,İç,659658
2023-07-01,Aydın,İç,0
2023-07-01,Ağrı,İç,27927
2023-07-01,Balıkesir Edremit,İç,40199
2023-07-01,Balıkesir Merkez,İç,0
2023-07-01,Batman,İç,49425
2023-07-01,Bingöl,İç,17771
2023-07-01,Bursa Yenişehir,İç,16437
2023-07-01,Denizli Çardak,İç,31690
2023-07-01,Diyarbakır,İç,157567
2023-07-01,Elazığ,İç,61321
2023-07-01,Erzincan,İç,46007
